AP Name,Aruba AP Model,IP Address,MAC Address,Secondary MAC Address,SSID,Latitude,Longitude,Floor,Building Code
ACO-AP-ASA-7--A,105,172.16.17.130,000B86CF3842,000B86738428,eduroam,,,7,ASA
ACO-AP-ASA-7--A,105,172.16.17.130,000B86CF3842,000B86738420,eduroam,,,7,ASA
ACO-AP-ASA-7--A,105,172.16.17.130,000B86CF3842,000B86738429,uw-unsecured,,,7,ASA
ACO-AP-ASA-7--A,105,172.16.17.130,000B86CF3842,000B86738421,uw-unsecured,,,7,ASA
ACO-AP-ASA-7--B,105,172.16.17.131,000B86CF3846,000B86738468,eduroam,,,7,ASA
ACO-AP-ASA-7--B,105,172.16.17.131,000B86CF3846,000B86738460,eduroam,,,7,ASA
ACO-AP-ASA-7--B,105,172.16.17.131,000B86CF3846,000B86738469,uw-unsecured,,,7,ASA
ACO-AP-ASA-7--B,105,172.16.17.131,000B86CF3846,000B86738461,uw-unsecured,,,7,ASA
ACO-AP-ASA-7--C,105,172.16.17.132,000B86CF382E,000B867382E8,eduroam,,,7,ASA
ACO-AP-ASA-7--C,105,172.16.17.132,000B86CF382E,000B867382E0,eduroam,,,7,ASA
ACO-AP-ASA-7--C,105,172.16.17.132,000B86CF382E,000B867382E9,uw-unsecured,,,7,ASA
ACO-AP-ASA-7--C,105,172.16.17.132,000B86CF382E,000B867382E1,uw-unsecured,,,7,ASA
ACO-AP-ASA-7--D,105,172.16.17.133,000B86CF3856,000B86738568,eduroam,,,7,ASA
ACO-AP-ASA-7--D,105,172.16.17.133,000B86CF3856,000B86738560,eduroam,,,7,ASA
ACO-AP-ASA-7--D,105,172.16.17.133,000B86CF3856,000B86738569,uw-unsecured,,,7,ASA
ACO-AP-ASA-7--D,105,172.16.17.133,000B86CF3856,000B86738561,uw-unsecured,,,7,ASA
ACO-AP-ASA-7--E,105,172.16.17.134,000B86CF3832,000B86738328,eduroam,,,7,ASA
ACO-AP-ASA-7--E,105,172.16.17.134,000B86CF3832,000B86738320,eduroam,,,7,ASA
ACO-AP-ASA-7--E,105,172.16.17.134,000B86CF3832,000B86738329,uw-unsecured,,,7,ASA
ACO-AP-ASA-7--E,105,172.16.17.134,000B86CF3832,000B86738321,uw-unsecured,,,7,ASA
ACO-AP-ASA-7--F,105,172.16.17.135,000B86CF3837,000B86738378,eduroam,,,7,ASA
ACO-AP-ASA-7--F,105,172.16.17.135,000B86CF3837,000B86738370,eduroam,,,7,ASA
ACO-AP-ASA-7--F,105,172.16.17.135,000B86CF3837,000B86738379,uw-unsecured,,,7,ASA
ACO-AP-ASA-7--F,105,172.16.17.135,000B86CF3837,000B86738371,uw-unsecured,,,7,ASA
ACO-AP-ECH-1--A,61,172.20.0.228,000B86CBCA22,000B863CA220,eduroam,43.4736644947,-80.5383858286,1,ECH
ACO-AP-ECH-1--A,61,172.20.0.228,000B86CBCA22,000B863CA221,uw-unsecured,43.4736644947,-80.5383858286,1,ECH
ACO-AP-ECH-1--B,61,172.20.0.229,000B86CBCA20,000B863CA200,eduroam,43.4735547930,-80.5386923622,1,ECH
ACO-AP-ECH-1--B,61,172.20.0.229,000B86CBCA20,000B863CA201,uw-unsecured,43.4735547930,-80.5386923622,1,ECH
ACO-AP-ECH-1--C,61,172.20.0.230,000B86CBCA3B,000B863CA3B0,eduroam,43.4734933622,-80.5388756357,1,ECH
ACO-AP-ECH-1--C,61,172.20.0.230,000B86CBCA3B,000B863CA3B1,uw-unsecured,43.4734933622,-80.5388756357,1,ECH
ACO-AP-ECH-1--D,61,172.20.0.231,001A1ECED511,001A1E6D5110,eduroam,43.4733194883,-80.5390437699,1,ECH
ACO-AP-ECH-1--D,61,172.20.0.231,001A1ECED511,001A1E6D5111,uw-unsecured,43.4733194883,-80.5390437699,1,ECH
ACO-AP-ECH-1--E,61,172.20.0.232,000B86CBCA15,000B863CA150,eduroam,43.4734390415,-80.5392637894,1,ECH
ACO-AP-ECH-1--E,61,172.20.0.232,000B86CBCA15,000B863CA151,uw-unsecured,43.4734390415,-80.5392637894,1,ECH
ACO-AP-ECH-1--F,61,172.20.0.233,001A1ECED37F,001A1E6D37F0,eduroam,43.4735134232,-80.5390008064,1,ECH
