building_id,building_code,parent_code,building_name,alternate_building_names,latitude,longitude,current,latitude_osm,longitude_osm,youtube_vid,streamable_vid
1,DWE,,Douglas Wright Engineering Building,,43.47007105,-80.5397063758774,1,43.47013,-80.53953,r4oHMdPjJEU,4ru2
2,E2,,Engineering 2,,43.47104345,-80.54041224,1,43.47095,-80.54029,,
3,E3,,Engineering 3,,43.4717442,-80.54086285,1,43.47167,-80.5408,ZQNXvD0A8sk,x0ut
4,PHY,,Physics,,43.47084805,-80.541538064259,1,43.47088,-80.54157,,
5,ML,,Modern Languages,,43.46909688,-80.54287987,1,43.46898,-80.54292,,
6,ESC,,Earth Sciences & Chemistry,,43.47134906,-80.54270285,1,43.4714,-80.54273,,
7,B1,,Biology 1,,43.4707354,-80.5429846140468,1,43.47085,-80.54304,,
8,LIB,,Dana Porter Arts Library,DP|Dana Porter,43.46984437,-80.54242926,1,43.46977,-80.54226,j_hRn1by_uw,ny5u
9,AL,,Arts Lecture Hall,,43.46894115,-80.54187136,1,43.46893,-80.5418,,
10,EV1,,Environment 1,,43.4683961,-80.54262238,1,43.46837,-80.54255,,
11,RCH,,J.R. Coutts Engineering Lecture Hall,Engineering Lecture Hall,43.47031155,-80.54084139,1,43.47034,-80.54072,GhmddL-TN9E,4oa7
12,CSB,,Central Services Building,,43.4737628,-80.5437889849733,1,43.47383,-80.54372,,
13,B2,,Biology 2,,43.4708179,-80.5437287379759,1,43.47088,-80.5437,,
14,GSC,,General Services Complex,Plant Operations,43.47342207,-80.54308372,1,43.47352,-80.54283,,
15,COM,,Commissary,Police & Parking Services,43.47412795,-80.5429211785508,1,43.47419,-80.54292,,
16,SCH,,South Campus Hall,,43.4692188,-80.5402133845484,1,43.46929,-80.5403,,
17,MC,,Mathematics & Computer Building,,43.47207511,-80.54394739,1,43.47214,-80.54387,HTQ844-1vE8,ksez
18,PAC,,Physical Activities Complex,,43.47242353,-80.54613339,1,43.4723,-80.54618,,
19,SLC,,Student Life Centre,,43.471601,-80.545455,1,43.47165,-80.5453,FBqbmfhE2G4,c0k0
20,V1,,Student Village 1,V1|Village 1,,,1,43.47164,-80.54994,,
20CC,V1C,V1,Student Village 1 Central Complex,V1|Village 1,43.4716,-80.54996,1,43.47164,-80.54994,,
20E1,VE1,V1,Student Village 1 House East 1,V1 E1,43.471745,-80.549317,1,43.47183,-80.54935,,
20E2,VE2,V1,Student Village 1 House East 2,V1 E2,43.471821,-80.549017,1,43.47186,-80.54901,,
20E3,VE3,V1,Student Village 1 House East 3,V1 E3,43.47176,-80.548612,1,43.47188,-80.54863,,
20E4,VE4,V1,Student Village 1 House East 4,V1 E4,43.471568,-80.548526,1,43.47162,-80.54856,,
20E5,VE5,V1,Student Village 1 House East 5,V1 E5,43.471499,-80.548917,1,43.47158,-80.54895,,
