Department,Number
ACTSC,221
ACTSC,231
ACTSC,232
ACTSC,331
ACTSC,371
ACTSC,372
ACTSC,431
ACTSC,432
ACTSC,445
ACTSC,446
ACTSC,463
ACTSC,471
AFM,101
AFM,123
AFM,131
AFM,202
AFM,203
AFM,204
AFM,273
AFM,274
AFM,291
AFM,321
AFM,323
AFM,333
AFM,341
AFM,362
AFM,372
AFM,373
AFM,391
AFM,401
AFM,415
AFM,418
AFM,451
AFM,461
AFM,471
AFM,472
AFM,476
AFM,481
AFM,482
AFM,491
AMATH,231
AMATH,250
AMATH,251
AMATH,271
AMATH,310
AMATH,331
AMATH,350
AMATH,351
AMATH,442
AMATH,453
AMATH,456
AMATH,463
AMATH,473
AMATH,495
ANTH,101
ANTH,102
ANTH,201
ANTH,202
ANTH,260
ANTH,261
ANTH,303
ANTH,321
ANTH,345
ANTH,348
ANTH,352
ANTH,355
ANTH,390A
ANTH,391
ANTH,393
ANTH,400
ANTH,492A
ANTH,495
ANTH,497
ANTH,499A
ANTH,499B
APPLS,205R
APPLS,301
ARBUS,100
ARBUS,101
ARBUS,200
ARBUS,202
ARBUS,300
ARBUS,301
ARBUS,400
ARCH,100
ARCH,110
ARCH,142
ARCH,172
ARCH,192
ARCH,226
ARCH,246
ARCH,260
ARCH,272
ARCH,292
ARCH,327
ARCH,342
ARCH,365
ARCH,385
ARCH,393
ARCH,446
ARCH,448
ARCH,449
ARCH,492
ARCHL,206W
ARTS,111
ARTS,125
ARTS,190
ARTS,303
ARTS,365
ARTS,390
BET,300
BIOL,110
BIOL,130
BIOL,130L
BIOL,150
BIOL,225
BIOL,239
BIOL,240
BIOL,240L
BIOL,302
BIOL,303
BIOL,308
BIOL,309
BIOL,323
BIOL,325
BIOL,335L
BIOL,342
BIOL,345
BIOL,350
BIOL,354
BIOL,355
BIOL,358
BIOL,359
BIOL,364
BIOL,370
BIOL,373
BIOL,376
BIOL,434
BIOL,439
BIOL,443
BIOL,444
BIOL,448
BIOL,462
BIOL,466
BIOL,470
BIOL,472
BIOL,473
BIOL,479
BIOL,483
BIOL,486
BIOL,490A
BIOL,490B
BIOL,491A
BIOL,491B
BIOL,492
BIOL,498A
BIOL,498B
BIOL,499A
BIOL,499B
BUS,111W
BUS,208W
BUS,227W
BUS,231W
BUS,247W
BUS,288W
BUS,311W
BUS,352W
BUS,353W
BUS,354W
BUS,357W
BUS,362W
BUS,383W
BUS,385W
BUS,387W
BUS,397W
BUS,408W
BUS,412W
BUS,413W
BUS,415W
BUS,417W
BUS,418W
BUS,423W
BUS,432W
BUS,435W
BUS,445W
BUS,447W
BUS,451W
BUS,452W
BUS,455W
BUS,456W
BUS,457W
BUS,466W
BUS,467W
BUS,470W
BUS,472W
BUS,473W
BUS,474W
BUS,477W
BUS,481W
BUS,482W
BUS,486W
BUS,487W
BUS,492KW
BUS,497HW
CHE,100
CHE,102
CHE,200
CHE,201
CHE,202
CHE,211
CHE,220
CHE,230
CHE,231
CHE,241
CHE,290
CHE,291
CHE,298
CHE,299
CHE,302
CHE,311
CHE,313
CHE,325
CHE,331
CHE,391
CHE,399
CHE,401
CHE,420
CHE,480
CHE,482
CHE,490
CHE,498
CHE,541
CHEM,120
CHEM,120L
CHEM,123
CHEM,140
CHEM,209
CHEM,217
CHEM,220
CHEM,220L
CHEM,237
CHEM,237L
CHEM,240
CHEM,250L
CHEM,262
CHEM,262L
CHEM,264
CHEM,266
CHEM,266L
CHEM,310
CHEM,310L
CHEM,323
CHEM,331
CHEM,333
CHEM,335L
CHEM,350L
CHEM,356
CHEM,370
CHEM,382L
CHEM,392A
CHEM,392B
CHEM,404
CHEM,420
CHEM,430
CHEM,432
CHEM,440
CHEM,450
CHEM,460
CHEM,464
CHEM,470
CHEM,482
CHEM,494A
CHEM,494B
CHEM,495
CHINA,101R
CHINA,102R
CHINA,120R
CHINA,200R
CHINA,201R
CHINA,202R
CHINA,272R
CHINA,301R
CHINA,390R
CIVE,125
CIVE,204
CIVE,221
CIVE,224
CIVE,265
CIVE,292
CIVE,298
CIVE,306
CIVE,313
CIVE,332
CIVE,343
CIVE,354
CIVE,381
CIVE,399
CIVE,486
CIVE,497
CLAS,100
CLAS,105
CLAS,210
CLAS,221
CLAS,231
CLAS,241
CLAS,251
CLAS,321
CLAS,351
CLAS,486
CLAS,490A
CLAS,490B
CMW,201
CMW,363
CO,227
CO,250
CO,330
CO,342
CO,351
CO,370
CO,372
CO,430
CO,442
CO,450
CO,456
CO,463
CO,485
CO,499
COMM,231
COMM,421
COMM,431
COMST,100W
COOP,1
COOP,2
COOP,3
COOP,4
COOP,5
COOP,6
COOP,7
COOP,8
COOP,9
COOP,10
COOP,12
CROAT,101
CROAT,201
CROAT,496
CS,100
CS,115
CS,116
CS,135
CS,136
CS,137
CS,145
CS,200
CS,230
CS,234
CS,240
CS,241
CS,245
CS,246
CS,251
CS,330
CS,335
CS,338
CS,341
CS,343
CS,348
CS,349
CS,350
CS,360
CS,370
CS,399
CS,430
CS,432
CS,445
CS,456
CS,458
CS,466
CS,486
CS,488
CS,499R
DAC,202
DRAMA,101A
DRAMA,102
DRAMA,221
DRAMA,243
DRAMA,301
DRAMA,306
DRAMA,321
DRAMA,326
DRAMA,343
DRAMA,386
DRAMA,394
DRAMA,406
DRAMA,409
DRAMA,421
DRAMA,425
DRAMA,490
DRAMA,499A
DUTCH,101
DUTCH,201
EARTH,121
EARTH,121L
EARTH,123
EARTH,123L
EARTH,231
EARTH,235
EARTH,260
EARTH,310
EARTH,331
EARTH,342
EARTH,359
EARTH,421
EARTH,436A
EARTH,436B
EARTH,440
EARTH,444
EARTH,458
EARTH,458L
EARTH,461
EARTH,491
EARTH,499
EASIA,201R
EASIA,206R
EASIA,277R
EASIA,301R
ECE,100A
ECE,100B
ECE,105
ECE,140
ECE,150
ECE,200A
ECE,200B
ECE,205
ECE,206
ECE,207
ECE,209
ECE,222
ECE,224
ECE,240
ECE,242
ECE,250
ECE,254
ECE,290
ECE,300A
ECE,300B
ECE,318
ECE,356
ECE,358
ECE,361
ECE,390
ECE,400A
ECE,403
ECE,451
ECE,484
ECE,498A
ECE,498B
ECE,499
ECON,101
ECON,102
ECON,120W
ECON,140W
ECON,201
ECON,202
ECON,211
ECON,220
ECON,221
ECON,231
ECON,250W
ECON,260W
ECON,301
ECON,302
ECON,304
ECON,311
ECON,321
ECON,341
ECON,344
ECON,351
ECON,355
ECON,361
ECON,363
ECON,371
ECON,383
ECON,401
ECON,402
ECON,404
ECON,421
ECON,456
ECON,472
ECON,483
ECON,487
ECON,488
ELPE,100
ENBUS,102
ENBUS,202
ENBUS,203
ENBUS,204
ENBUS,306
ENBUS,311
ENBUS,402A
ENBUS,407
ENBUS,409
ENBUS,411
ENGL,100A
ENGL,100B
ENGL,101A
ENGL,101B
ENGL,102B
ENGL,104
ENGL,108A
ENGL,108D
ENGL,108E
ENGL,108F
ENGL,108H
ENGL,108M
ENGL,109
ENGL,119
ENGL,129R
ENGL,140R
ENGL,190
ENGL,200A
ENGL,201
ENGL,204
ENGL,208A
ENGL,208C
ENGL,208H
ENGL,208K
ENGL,208M
ENGL,210F
ENGL,210H
ENGL,210I
ENGL,213
ENGL,220A
ENGL,247
ENGL,251A
ENGL,290
ENGL,292
ENGL,293
ENGL,301H
ENGL,305A
ENGL,306A
ENGL,306F
ENGL,309A
ENGL,310A
ENGL,318
ENGL,335
ENGL,342
ENGL,347
ENGL,350A
ENGL,350B
ENGL,362
ENGL,365
ENGL,366
ENGL,376R
ENGL,392A
ENGL,407
ENGL,409A
ENGL,430A
ENGL,451A
ENGL,460C
ENGL,495A
ENGL,495B
ENVE,100
ENVE,214
ENVE,223
ENVE,276
ENVE,292
ENVE,299
ENVE,430
ENVE,472
ENVE,498
ENVS,195
ENVS,200
ENVS,201
ENVS,278
ENVS,334
ENVS,395
ENVS,444
ERS,110
ERS,210
ERS,211
ERS,234
ERS,275
ERS,310
ERS,311
ERS,315
ERS,316
ERS,370
ERS,375
ERS,411A
ERS,411B
ERS,412A
ERS,412B
ERS,475
ERS,484
ESL,101R
ESL,102R
ESL,129R
FINE,100
FINE,130
FINE,150
FINE,209
FINE,216
FINE,220
FINE,221
FINE,223
FINE,224
FINE,229
FINE,230
FINE,232
FINE,241
FINE,243
FINE,252
FINE,257
FINE,272
FINE,274
FINE,300
FINE,302
FINE,304
FINE,343
FINE,377
FINE,396
FINE,402
FINE,404
FINE,405
FINE,470
FINE,472
FINE,474
FINE,490
FINE,491
FINE,492
FINE,496
FR,151
FR,152
FR,192A
FR,192B
FR,197
FR,203
FR,251
FR,252
FR,263
FR,291
FR,297
FR,300A
FR,303
FR,351
FR,353
FR,363A
FR,375
FR,392A
FR,393A
FR,395A
FR,424
FR,471
GBDA,101
GBDA,103
GBDA,201
GBDA,203
GENE,119
GENE,121
GENE,302
GENE,303
GENE,315
GENE,395
GENE,401
GENE,415
GENE,501
GEOE,299
GEOE,400
GEOE,498
GEOG,100
GEOG,101
GEOG,165
GEOG,201
GEOG,202
GEOG,210
GEOG,215
GEOG,222
GEOG,233
GEOG,281
GEOG,300
GEOG,303
GEOG,309
GEOG,310
GEOG,311
GEOG,316
GEOG,319
GEOG,353
GEOG,356
GEOG,371
GEOG,372
GEOG,381
GEOG,387
GEOG,391
GEOG,393
GEOG,394
GEOG,405
GEOG,423
GEOG,453
