subject,number,title
"ARBUS","100","Introduction to Arts and Business"
"ARBUS","101","Introduction to Business in North America"
"ARBUS","102","Accounting Information for Managers"
"ARBUS","200","Entrepreneurship Principles and Practices"
"ARBUS","201","The Principles of Entrepreneurship"
"ARBUS","202","Professional and Business Ethics"
"ARBUS","204","Leadership, Teams, and Communication"
"ARBUS","300","Practical Business Skills"
"ARBUS","301","International Business"
"ARBUS","302","Marketing: Principles of Marketing and Consumer Economics"
"ARBUS","400","Strategy and Program Integration"
