subject,number,title
"AVIA","101","Professional Pilot Program Course I"
"AVIA","102","Professional Pilot Program Course II"
"AVIA","203","Professional Pilot Program Course III"
"AVIA","204","Professional Pilot Program Course IV"
"AVIA","205","Professional Pilot Program Course V"
"AVIA","306","Professional Pilot Program Course VI"
"AVIA","307","Professional Pilot Program Course VII"
"AVIA","310","Human Factors in Aviation"
"AVIA","408","Professional Pilot Program Course VIII"
"AVIA","474","Special Topics in Aviation"
"AVIA","475","Independent Studies of Selected Topics"
