subject,number,title
"BIOL","110","Introductory Zoology"
"BIOL","112","Introductory Biology 2"
"BIOL","120","Introduction to Plant Structure and Function"
"BIOL","130","Introductory Cell Biology"
"BIOL","130L","Cell Biology Laboratory"
"BIOL","139","Genetics"
"BIOL","140","Fundamentals of Microbiology"
"BIOL","140L","Microbiology Laboratory"
"BIOL","150","Organismal and Evolutionary Ecology"
"BIOL","165","Diversity of Life"
"BIOL","201","Human Anatomy"
"BIOL","208","Analytical Methods in Molecular Biology"
"BIOL","211","Introductory Vertebrate Zoology"
"BIOL","221","Introductory Survey of Fungi, Algae and Plants"
"BIOL","225","Plants and Civilization"
"BIOL","239","Genetics"
"BIOL","240","Fundamentals of Microbiology"
"BIOL","240L","Microbiology Laboratory"
"BIOL","241","Introduction to Applied Microbiology"
"BIOL","250","Organismal and Evolutionary Ecology"
"BIOL","265","Diversity of Life"
"BIOL","273","Principles of Human Physiology 1"
"BIOL","273L","Human Physiology 1 Laboratory"
"BIOL","280","Introduction to Biophysics"
"BIOL","298","Field Course 1"
"BIOL","301","Human Anatomy"
"BIOL","302","Functional Histology"
"BIOL","303","Introductory Developmental Biology and Embryology"
"BIOL","308","Principles of Molecular Biology"
"BIOL","309","Analytical Methods in Molecular Biology"
"BIOL","310","Invertebrate Zoology"
"BIOL","321","Plant Anatomy and Morphogenesis"
"BIOL","323","Plant Physiology"
"BIOL","325","Flowering Plants"
"BIOL","330","Molecular Biology"
"BIOL","331","Advanced Cell Biology"
"BIOL","335L","Molecular Biology Techniques"
"BIOL","342","Molecular Biotechnology 1"
"BIOL","345","Microorganisms in Foods"
"BIOL","346","Microbial Ecology and Diversity"
"BIOL","348L","Laboratory Methods in Microbiology"
"BIOL","349","Synthetic Biology Project Design"
"BIOL","350","Ecosystem Ecology"
"BIOL","351","Aquatic Ecology"
"BIOL","354","Environmental Toxicology 1"
"BIOL","355","Biology of Human Aging"
"BIOL","358","Quantitative Ecology"
"BIOL","359","Evolution"
"BIOL","361","Biostatistics and Experimental Design"
"BIOL","364","Mathematical Modelling in Biology"
"BIOL","365","Resources in Bioinformatics"
"BIOL","366","Introduction to Bioinformatics"
"BIOL","370","Comparative Animal Physiology 1"
"BIOL","371","Comparative Animal Physiology 2"
"BIOL","373","Principles of Human Physiology 2"
"BIOL","373L","Human Physiology 2 Laboratory"
"BIOL","374L","Techniques in Animal Physiology"
"BIOL","376","Cellular Neurophysiology"
"BIOL","377","Systems Neuroscience: From Neurons to Behaviour"
"BIOL","381","Restoration Ecology"
"BIOL","382","Computational Modeling of Cellular Systems"
"BIOL","383","Tropical Ecosystems"
"BIOL","403","Advanced Topics in Developmental Biology"
"BIOL","412","Arthropod Zoology"
"BIOL","422","Mycology"
"BIOL","426","Phycology"
"BIOL","428","Plant Molecular Genetics"
"BIOL","431","Bacterial Molecular Genetics"
"BIOL","432","Molecular Biotechnology 2"
"BIOL","433","Plant Biotechnology"
"BIOL","434","Human Molecular Genetics"
"BIOL","435L","Molecular Biology Techniques"
"BIOL","438","Molecular Biology of Animal Development"
"BIOL","439","Environmental and Natural Products Biochemistry"
"BIOL","441","Immunology"
"BIOL","442","Virology"
"BIOL","443","Fermentation Biotechnology"
"BIOL","444","Microorganisms and Disease"
"BIOL","445","Microorganisms in Foods"
"BIOL","446","Microbial Ecology"
"BIOL","447","Environmental Microbiology"
"BIOL","448","Microbial Physiology and Biochemistry"
"BIOL","449","Public Health Microbiology"
"BIOL","450","Marine Biology"
"BIOL","451","Limnology"
"BIOL","452","Quantitative Fisheries Biology"
"BIOL","453","Wetlands"
"BIOL","455","Ecological Risk Assessment and Management"
"BIOL","456","Population Biology"
"BIOL","457","Analysis of Communities"
"BIOL","458","Quantitative Ecology"
"BIOL","459","Evolution"
"BIOL","460L","Current Methods in Aquatic Science"
"BIOL","461","Advanced Biostatistics"
"BIOL","462","Applied Wetland Science"
"BIOL","465","Current Topics in Bioinformatics"
"BIOL","466","Biogeochemical Microbiology"
"BIOL","467","Plant-Bacterial Interactions"
"BIOL","470","Methods of Aquatic Ecology"
"BIOL","472","Cell Biology of Human Disease"
"BIOL","473","Mammalian Reproduction"
"BIOL","474","Bioprocessing"
"BIOL","475","Current Topics in Applied Microbiology"
"BIOL","476","Cellular and Molecular Neuroscience"
"BIOL","477L","Techniques in Animal Physiology"
"BIOL","479","Population Genetics and Evolution"
"BIOL","480","Molecular Ecology"
"BIOL","481","Introductory Quaternary Ecology"
"BIOL","483","Animal Cell Biotechnology"
"BIOL","484","Advanced Eukaryotic Genetics"
"BIOL","485","Conservation Biology"
"BIOL","486","Glycobiology"
"BIOL","487","Computational Neuroscience"
"BIOL","488","Ecotoxicology from a Watershed Perspective"
"BIOL","489","Arctic Ecology"
"BIOL","490A","Biology Field Course I"
"BIOL","490B","Biology Field Course II"
"BIOL","490C","Biology Field Course III"
"BIOL","490D","Biology Field Course IV"
"BIOL","491A","Aquatic Field Biology"
"BIOL","491B","Field Course in Terrestrial and Aquatic Biology"
"BIOL","492","Marine Mammals and Seabirds"
"BIOL","496","Neuroscience Research Seminar"
"BIOL","498A","Short Biology Field Course 1"
"BIOL","498B","Short Biology Field Course 2"
"BIOL","499A","Senior Honours Project"
"BIOL","499B","Senior Honours Project"
