subject,number,title
"BUS","111W","Introduction to Business Organization (WLU)"
"BUS","121W","Functional Areas of the Organization (WLU)"
"BUS","218W","Management Skills (WLU)"
"BUS","227W","Introduction to Financial Accounting (WLU)"
"BUS","231W","Business Law (WLU)"
"BUS","247W","Managerial Accounting (WLU)"
"BUS","288W","Organizational Behaviour 1 (WLU)"
"BUS","352W","Introduction to Marketing Management (WLU)"
"BUS","353W","Introduction to Risk Management and Insurance (WLU)"
"BUS","354W","Human Resources Management (WLU)"
"BUS","357W","Taxation (WLU)"
"BUS","362W","Building and Managing Products, Services and Brands(WLU)"
"BUS","383W","Financial Management 1 (WLU)"
"BUS","385W","Operations Management 1 (WLU)"
"BUS","387W","Intermediate Accounting 1 (WLU)"
"BUS","388W","Organizational Behaviour 1 (WLU)"
"BUS","393W","Financial Management 2 (WLU)"
"BUS","395W","Operations Management 2 (WLU)"
"BUS","397W","Intermediate Accounting 2 (WLU)"
"BUS","398W","Organizational Behaviour 2 (WLU)"
"BUS","403W","Entrepreneurial Finance(WLU)"
"BUS","405W","Purchasing and Materials Management (WLU)"
"BUS","413W","Personal Financial Planning and Management (WLU)"
"BUS","433W","Management of Financial Institutions (WLU)"
"BUS","435W","Supply Chain Management (WLU)"
"BUS","440W","New Venture Creation (WLU)"
"BUS","443W","International Financial Management (WLU)"
"BUS","445W","Information Systems for Supply Chain Management(WLU)"
"BUS","452W","Marketing Strategy (WLU)"
"BUS","453W","Working Capital Management (WLU)"
"BUS","454W","Managing Human Resources/Canada (WLU)"
"BUS","455W","Transportation and Facilities Management (WLU)"
"BUS","462W","Business-to-Business Marketing (WLU)"
"BUS","463W","Advanced Corporate Finance (WLU)"
"BUS","464W","Labour Relations (WLU)"
"BUS","468W","Organizational Change and Development (WLU)"
"BUS","471W","International Strategic Management (WLU)"
"BUS","472W","Marketing Communications (WLU)"
"BUS","473W","Investment Management (WLU)"
"BUS","479W","High-Tech Marketing (WLU)"
"BUS","481W","Business Policy 1 (WLU)"
"BUS","482W","Sales Management (WLU)"
"BUS","483W","Life and Health Insurance (WLU)"
"BUS","485W","Environmental Management for Operations (WLU)"
"BUS","491W","Business Policy 2 (WLU)"
"BUS","498K","Recruitment and Selection (WLU)"
