subject,number,title
"CHINA","101R","First-Year Chinese 1"
"CHINA","102R","First-Year Chinese 2"
"CHINA","120R","Advanced First-Year Chinese"
"CHINA","200R","Preliminary Second-Year Chinese"
"CHINA","201R","Second-Year Chinese 1"
"CHINA","202R","Second-Year Chinese 2"
"CHINA","211R","Chinese for Business Settings 1"
"CHINA","212R","Chinese for Business Settings 2"
"CHINA","272R","Chinese Culture and Society"
"CHINA","301R","Third-Year Chinese 1"
"CHINA","302R","Third-Year Chinese 2"
"CHINA","310R","Chinese for Business Settings"
"CHINA","320R","Chinese in Mass Media"
"CHINA","390R","Introduction to Professional Translation (Chinese to English)"
