subject,number,title
"CIVE","121","Digital Computation"
"CIVE","125","Civil Engineering Concepts 1"
"CIVE","127","Statics & Solid Mechanics 1"
"CIVE","153","Earth Engineering"
"CIVE","199","Seminar"
"CIVE","204","Statics and Solid Mechanics 2"
"CIVE","205","Mechanics of Solids 2"
"CIVE","221","Advanced Calculus"
"CIVE","222","Differential Equations"
"CIVE","224","Probability and Statistics"
"CIVE","240","Engineering and Sustainable Development"
"CIVE","253","Geology for Engineers"
"CIVE","265","Structure and Properties of Materials"
"CIVE","280","Fluid Mechanics and Thermal Sciences"
"CIVE","291","Survey Camp"
"CIVE","292","Engineering Economics"
"CIVE","298","Seminar"
"CIVE","299","Seminar"
"CIVE","300","Civil Engineering Project 1"
"CIVE","303","Structural Analysis 1"
"CIVE","306","Mechanics of Solids 3"
"CIVE","313","Structural Concrete Design 1"
"CIVE","331","Advanced Mathematics for Civil Engineers"
"CIVE","332","Civil Engineering Systems"
"CIVE","342","Transport Principles and Applications"
"CIVE","343","Traffic Engineering"
"CIVE","344","Urban Transport Planning"
"CIVE","353","Geotechnical Engineering 1"
"CIVE","354","Geotechnical Engineering 2"
"CIVE","375","Water Quality Engineering"
"CIVE","381","Hydraulics"
"CIVE","392","Engineering Economics"
"CIVE","398","Seminar"
"CIVE","399","Seminar"
"CIVE","400","Civil Engineering Project 1"
"CIVE","401","Civil Engineering Project 2"
"CIVE","403","Structural Analysis 2"
"CIVE","405","Structural Dynamics"
"CIVE","413","Structural Steel Design"
"CIVE","414","Structural Concrete Design 2"
"CIVE","415","Structural Systems"
"CIVE","422","Finite Element Analysis"
"CIVE","440","Transit Planning and Operations"
"CIVE","443","Traffic Engineering"
"CIVE","444","Urban Transport Planning"
"CIVE","460","Engineering Biomechanics"
"CIVE","472","Wastewater Treatment"
"CIVE","486","Hydrology"
"CIVE","491","Engineering Law and Ethics"
"CIVE","497","Special Topics in Civil Engineering"
"CIVE","498","Seminar"
"CIVE","499","Seminar"
"CIVE","507","Building Science and Technology"
"CIVE","512","Rehabilitation of Structures"
"CIVE","542","Pavement Structural Design"
"CIVE","554","Geotechnical Engineering 3"
"CIVE","572","Wastewater Treatment"
"CIVE","583","Design of Urban Water Systems"
"CIVE","596","Construction Engineering"
