subject,number,title
"CROAT","101","Elementary Croatian 1"
"CROAT","102","Elementary Croatian II"
"CROAT","201","Intermediate Croatian I"
"CROAT","202","Intermediate Croatian II"
"CROAT","301","Advanced Croatian"
"CROAT","302","Advanced Croatian"
"CROAT","371","Croatian Culture and Literature"
"CROAT","372","Croatian Culture and Literature"
"CROAT","395","Waterloo in Zagreb Program"
"CROAT","396","Waterloo in Zagreb Program"
"CROAT","496","Special Topics in Croatian Studies"
"CROAT","497","Special Topics in Croatian Studies"
