subject,number,title
"DAC","100","Designing Digital Images and Hypertext"
"DAC","200","Designing Digital Sound and Video"
"DAC","201","Designing Digital Images and Hypertext"
"DAC","202","Designing Digital Video"
"DAC","2XX","DAC Transfer Credit"
"DAC","300","Special Topics in Digital Design"
"DAC","301","Designing with Digital Sound"
"DAC","302","Machinima as Digital Storytelling"
"DAC","303","Designing Learning Activities with Interactive Multimedia"
"DAC","304","Designing Computer Simulations and Games for Learning"
"DAC","305","Design for Interactive Games"
"DAC","307","Digital Display Systems"
"DAC","308","Cinematic Art and Practice"
"DAC","309","User Experience Design"
"DAC","329","Digital Presentations"
"DAC","400","Digital Design Research Project"
"DAC","403","Special Topics in Speech Communication and Technology"
