subject,number,title
"EASIA","201R","Introduction to East Asia"
"EASIA","205R","Religion in East Asia"
"EASIA","206R","Japanese Religions"
"EASIA","207R","Chinese Religions"
"EASIA","210R","Chinese Literature in Translation"
"EASIA","220R","The History of East Asian Communities in Canada"
"EASIA","250R","Study Abroad in East Asia"
"EASIA","275R","Religion and Japanese Film"
"EASIA","277R","International Relations of East Asia"
"EASIA","300R","Politics & Diplomacy of Contemporary Japan"
"EASIA","301R","The Political Economy of East Asia"
"EASIA","330R","Pure Land Buddhism"
"EASIA","375R","Special Topics in East Asian Studies"
