subject,number,title
"GENE","10","Co-operative Education Orientation"
"GENE","101","Strategies and Skills for Academic Success"
"GENE","119","Problems Seminar"
"GENE","121","Digital Computation"
"GENE","123","Electrical Engineering"
"GENE","167","Introduction to Methods of Electrical and Computer Engineering"
"GENE","170","Engineering Graphics"
"GENE","199","Special Topics in First Year Engineering"
"GENE","20C","Topics for Courses Taken on Exchange by Chemical Engineering Students"
"GENE","20E","Topics for Courses Taken on Exchange by Electrical Engineering Students"
"GENE","20G","Topics for Courses Taken on Exchange by Geological Engineering Students"
"GENE","20K","Topics for Courses Taken on Exchange by Civil Engineering Students"
"GENE","20M","Topics for Courses Taken on Exchange by Mechanical Engineering Students"
"GENE","20Q","Topics for Courses Taken on Exchange by Computer Engineering Students"
"GENE","20S","Topics for Courses Taken on Exchange by Software Engineering Students"
"GENE","20V","Topics for Courses Taken on Exchange by Environmental Engineering Students"
"GENE","21A","Topics for Technical Courses Taken on Exchange by Architecture Students"
"GENE","21C","Topics for Technical Courses Taken on Exchange by Chemical Engineering Students"
"GENE","21D","Topics for Technical Courses Taken on Exchange by Systems Design Engineering Students"
"GENE","21E","Topics for Technical Courses Taken on Exchange by Electrical Engineering Students"
"GENE","21I","Topics for Technical Courses Taken on Exchange by Environmental Engineering Students"
"GENE","21K","Topics for Technical Courses Taken on Exchange by Civil Engineering Students"
"GENE","21L","Topics for Technical Courses Taken on Exchange by Geological Engineering Students"
"GENE","21M","Topics for Technical Courses Taken on Exchange by Mechanical Engineering Students"
"GENE","21Q","Topics for Technical Courses Taken on Exchange by Computer Engineering Students"
"GENE","21S","Topics for Technical Courses Taken on Exchange by Software Engineering Students"
"GENE","21T","Topics for Technical Courses Taken on Exchange by Mechatronics Engineering Students"
"GENE","22A","Topics for List A Complementary Studies Courses Taken on Exchange by Engineering Students"
"GENE","22B","Topics for List B Complementary Studies Courses Taken on Exchange by Engineering Students"
"GENE","22C","Topics for List C Complementary Studies Courses Taken on Exchange by Engineering Students"
"GENE","22D","Topics for List D Complementary Studies Courses Taken on Exchange by Engineering Students"
"GENE","240","Algorithms and Data Structures"
"GENE","241","Introduction to Computer Structures & Real-Time Systems"
"GENE","299","Special Topics in Second Year Engineering"
"GENE","301","Special Directed Studies"
"GENE","302","Special Directed Studies"
"GENE","303","International Studies In Engineering"
"GENE","315","Special Directed Non-Technical Studies"
"GENE","342","Principles of Software Engineering"
"GENE","344","Programming Languages and Translators"
"GENE","395","Engineering Study Abroad"
"GENE","396","Engineering Study Abroad"
"GENE","397","Engineering Study Abroad"
"GENE","399","Special Topics in Third Year Engineering"
"GENE","401","Special Directed Studies"
"GENE","402","Special Directed Studies"
"GENE","403","Interdisciplinary Design Project 1"
"GENE","404","Interdisciplinary Design Project 2"
"GENE","411","Engineering Law and Ethics"
"GENE","412","Ethics and The Engineering Profession"
"GENE","415","Special Directed Non-Technical Studies"
"GENE","452","Technical Entrepreneurship"
"GENE","461","Mechatronics Design Project 1"
"GENE","462","Mechatronics Design Project 2"
"GENE","499","Special Topics in Fourth Year Engineering"
"GENE","501","Directed Studies for Visiting Exchange Students"
"GENE","502","Directed Studies for Visiting Exchange Students"
"GENE","503","Directed Studies for Visiting Exchange Students"
