subject,number,title
"INDEV","10","International Development Seminar"
"INDEV","100","Introduction to International Development"
"INDEV","101","Issues in International Development"
"INDEV","200","The Political Economy of Development"
"INDEV","202","Accounting for Development Organizations"
"INDEV","212","Problem-solving for Development"
"INDEV","275","Special Topics in International Development"
"INDEV","300","Culture and Ethics"
"INDEV","302","Development Agents"
"INDEV","303","Marketing and Communication for Development Agents"
"INDEV","304","Language Conversation for Development Field Work"
"INDEV","306","Inter-cultural Communication"
"INDEV","308","Introduction to Social Entrepreneurship"
"INDEV","375","Special Topics in International Development"
"INDEV","387","Global Cities in Global Development"
"INDEV","388","Key Issues in Urban Development"
"INDEV","400","Advanced Language Conversation for Development Field Work"
"INDEV","401","International Development Placement 1"
"INDEV","402","International Development Placement 2"
"INDEV","403","Advanced Marketing and Communication for Development Agents"
"INDEV","404","International Development Senior Project"
"INDEV","474","Special Topics in International Development"
