subject,number,title
"IS","100","Introduction to Research Methods"
"IS","101","Introductory Independent Research"
"IS","101A","Introductory Independent Research"
"IS","101B","Introductory Independent Research"
"IS","101C","Introductory Independent Research"
"IS","101D","Introductory Independent Research"
"IS","101E","Introductory Independent Research"
"IS","102","Introductory Independent Research"
"IS","102A","Introductory Independent Research Continued"
"IS","102B","Introductory Independent Research Continued"
"IS","102C","Introductory Independent Research Continued"
"IS","102D","Introductory Independent Research Continued"
"IS","102E","Introductory Independent Research Continued"
"IS","103","Introductory Independent Research"
"IS","104","Introductory Independent Research"
"IS","105","Introductory Independent Research"
"IS","106","Introductory Independent Research"
"IS","107","Introductory Independent Research"
"IS","108","Introductory Independent Research"
"IS","109","Introductory Independent Research"
"IS","110","Introductory Independent Research"
"IS","200","Interdisciplinary Research Design for Independent Studies"
"IS","201","Independent Research"
"IS","202","Independent Research"
"IS","203","Independent Research"
"IS","204","Independent Research"
"IS","205","Independent Research"
"IS","206","Independent Research"
"IS","207","Independent Research"
"IS","208","Independent Research"
"IS","209","Independent Research"
"IS","210","Independent Research"
"IS","211","Independent Research"
"IS","212","Independent Research"
"IS","220","Thesis Proposal Development"
"IS","301","Advanced Independent Research"
"IS","301A","Advanced Independent Research"
"IS","301B","Advanced Independent Research"
"IS","301C","Advanced Independent Research"
"IS","301D","Advanced Independent Research"
"IS","301E","Advanced Independent Research"
"IS","302","Advanced Independent Research"
"IS","302A","Advanced Independent Research Continued"
"IS","302B","Advanced Independent Research Continued"
"IS","302C","Advanced Independent Research Continued"
"IS","302D","Advanced Independent Research Continued"
"IS","302E","Advanced Independent Research Continued"
"IS","304","Advanced Independent Research"
"IS","305","Advanced Independent Research"
"IS","306","Advanced Independent Research"
"IS","307","Advanced Independent Research"
"IS","308","Advanced Independent Research"
"IS","309","Advanced Independent Research"
"IS","310","Thesis Phase I"
"IS","311","Part-time Thesis Phase Stage I - Part 1"
"IS","312","Part-time Thesis Phase Stage I - Part 2"
"IS","320","Thesis Phase II"
"IS","321","Part-time Thesis Phase Stage II - Part 1"
"IS","322","Part-time Thesis Phase Stage II - Part 2"
"IS","330","Honours Thesis Proposal Development"
"IS","401","Honours Independent Research"
"IS","402","Honours Independent Research"
"IS","403","Honours Independent Research"
"IS","404","Honours Independent Research"
"IS","405","Honours Independent Research"
"IS","410","Honours Thesis Phase I"
"IS","411","Part-time Honours Thesis Phase Stage I - Part 1"
"IS","412","Part-time Honours Thesis Phase Stage I - Part 2"
"IS","420","Honours Thesis Phase II"
"IS","421","Part-time Honours Thesis Phase Stage II - Part 1"
"IS","422","Part-time Honours Thesis Phase Stage II - Part 2"
