subject,number,title
"ITAL","101","Introduction to Italian Language 1"
"ITAL","102","Introduction to Italian Language 2"
"ITAL","155","Intensive Introductory Italian Language"
"ITAL","201","Intermediate Italian 1"
"ITAL","202","Intermediate Italian 2"
"ITAL","251","Issues in Contemporary Italian Society"
"ITAL","255","Italian for Business and Technology"
"ITAL","291","Italian Culture and Civilization 1"
"ITAL","292","Italian Culture and Civilization 2"
"ITAL","311","Medieval Italian Literature"
"ITAL","312","Renaissance Italian Literature"
"ITAL","370","Women Writers of the Italian Renaissance"
"ITAL","391","The Italian Novel and Cinema"
"ITAL","392","Modern Italian Poetry and Theatre"
"ITAL","394","Italian Studies in Italy"
"ITAL","395W","Special Topics in Italian Studies"
"ITAL","396","Special Topics/Directed Readings"
"ITAL","397","Special Topics/Directed Readings"
