subject,number,title
"LS","101","Introduction to Legal Studies"
"LS","102","Introduction to Criminal Law"
"LS","201","Women and the Law"
"LS","250","Introduction to Research Methods"
"LS","280","Social Statistics"
"LS","321","Introduction to Research Methods"
"LS","322","Introduction to Field Research Methods"
"LS","401","Senior Honours Seminar in Legal Studies I"
"LS","402","Senior Honours Seminar in Legal Studies II"
"LS","403","Socio-Legal Responses to Crime"
"LS","496","Special Topics in Legal Studies"
"LS","498","Directed Readings in Legal Studies"
