subject,number,title
"MTHEL","100","Commercial and Business Law for Mathematics Students"
"MTHEL","102","Uses and Abuses of Statistics"
"MTHEL","131","Introduction to Actuarial Practice"
"MTHEL","198","Mathematics Elective Topics 1"
"MTHEL","206A","Introduction to Mathematics Education"
"MTHEL","298","Mathematics Elective Topics 2"
"MTHEL","305A","General Life Insurance 1"
"MTHEL","305B","General Life Insurance 2"
"MTHEL","398","Mathematics Elective Topics 3"
"MTHEL","400","Entrepreneurship, Technology and the Emerging Information Economy"
"MTHEL","498","Mathematics Elective Topics 4"
