subject,number,title
"PD","1","Co-op Fundamentals"
"PD","2","Critical Reflection and Report Writing"
"PD","20","Engineering Workplace Skills I: Developing Reasoned Conclusions"
"PD","21","Engineering Workplace Skills II: Developing Effective Plans"
"PD","22","Professionalism and Ethics in Engineering Practice"
"PD","3","Communication"
"PD","4","Teamwork"
"PD","5","Project Management"
"PD","6","Problem Solving"
"PD","7","Conflict Resolution"
"PD","8","Intercultural Skills"
"PD","9","Ethical Decision Making"
