subject,number,title
"PSCI","100","Politics I: Canadian Politics and Policy in Comparative Perspective"
"PSCI","101","Introduction to Political Ideas"
"PSCI","101A","Introduction to Politics 1"
"PSCI","110","Introduction to Politics in the Contemporary World"
"PSCI","150","Politics II: The Global Politics of Who Gets What"
"PSCI","190","Special Studies"
"PSCI","200","Political Science Nuts and Bolts"
"PSCI","214","Quantitative Analysis"
"PSCI","218W","Introductory Methods in Political Science ll (WLU)"
"PSCI","225","Classics in Political Thought 1"
"PSCI","226","Classics in Political Thought 2"
"PSCI","231","Government and Business"
"PSCI","244","Irrational and Rational Choices in Politics"
"PSCI","250","The Comparative Politics of State and Nation"
"PSCI","252","Global South: Introduction to International Development"
"PSCI","253","Politics in Russia"
"PSCI","254","The Political Documentary"
"PSCI","255","Comparative Political Economy of Advanced Industrial Democracies"
"PSCI","257","Introduction to the Modern Middle East"
"PSCI","259","Government and Politics of Asia"
"PSCI","260","Canadian Government & Politics"
"PSCI","260A","Canadian Government and Politics 1"
"PSCI","260B","Canadian Government and Politics 2"
"PSCI","264","American Government and Politics"
"PSCI","281","World Politics"
"PSCI","282","Foreign Policy"
"PSCI","283","International Political Economy"
"PSCI","291","The Canadian Legal Process"
"PSCI","292","Issues in Canadian Criminal Law"
"PSCI","300","Foundations of Political Economy"
"PSCI","314","Quantitative Analysis"
"PSCI","315","Research Design in Political Science"
"PSCI","319W","African Politics (WLU)"
"PSCI","321","Marxist Theory"
"PSCI","322","Marxism after Marx"
"PSCI","323","Issues and Concepts in Contemporary Political Philosophy"
"PSCI","324","Contemporary Political Philosophy"
"PSCI","331","Public Administration"
"PSCI","332","Public Administration 2"
"PSCI","333","Administrative Law"
"PSCI","334","Public Policy"
"PSCI","335","Interest Groups and Canadian Public Policy"
"PSCI","342","Politics in Quebec"
"PSCI","343","Municipal Government and Politics in Canada"
"PSCI","345","Politics in Ontario"
"PSCI","350","Political Economy of Development"
"PSCI","350A","Political Economy of Development"
"PSCI","350B","The Politics of the Developing Areas"
