subject,number,title
"SOCWK","120R","Introduction to Social Work"
"SOCWK","1R","Social Work Practicum Seminar"
"SOCWK","220R","Social Work with Individuals - Theory and Practice 1"
"SOCWK","221R","Social Group Work"
"SOCWK","222R","Community Organization 1"
"SOCWK","240R","Palliative Care"
"SOCWK","241R","Psycho-Social Factors in Palliative Care"
"SOCWK","300R","Canadian Social Welfare Policy"
"SOCWK","301R","Understanding Diversity in Canada"
"SOCWK","320R","Social Work with Individuals - Theory and Practice 2"
"SOCWK","321R","Social Work with Families"
"SOCWK","322R","International Perspectives in Community Organization"
"SOCWK","326R","Philosophy and History of Social Welfare"
"SOCWK","350D","Social Casework"
"SOCWK","350E","Social Casework Techniques"
"SOCWK","350F","Social Work in Schools"
"SOCWK","355R","Child Maltreatment: Identification and Prevention"
"SOCWK","356R","Developmental Disabilities and the Family"
"SOCWK","357R","Family Violence"
"SOCWK","365R","Social Work in Health Care"
"SOCWK","367R","Social Work with the Elderly"
"SOCWK","375R","Studies in Social Work"
"SOCWK","390A","Family Violence: An Advanced Seminar"
"SOCWK","390B","Family Violence: An Advanced Seminar"
"SOCWK","398R","Independent Study"
"SOCWK","399R","Independent Study"
"SOCWK","421R","Advanced Family Practices"
"SOCWK","450R","Honours Seminar in Special Topics"
"SOCWK","490R","Special Studies"
