subject,number,title
"SPCOM","100","Interpersonal Communication"
"SPCOM","101","Theories of Communication"
"SPCOM","102","Introduction to Performance"
"SPCOM","111","Leadership, Communication, and Collaboration"
"SPCOM","204","Leadership, Teams, and Communication"
"SPCOM","220","Performance Studies"
"SPCOM","223","Public Speaking"
"SPCOM","224","Interpersonal Communication"
"SPCOM","225","Interviewing"
"SPCOM","226","Introduction to Intercultural Communication"
"SPCOM","227","Leadership"
"SPCOM","228","Public Communication"
"SPCOM","300","Special Topics in Digital Design"
"SPCOM","323","Speech Writing"
"SPCOM","324","Small Group Communication"
"SPCOM","325","Organizational Communication"
"SPCOM","326","Voice Technique"
"SPCOM","327","Leadership"
"SPCOM","329","Digital Presentations"
"SPCOM","399","Communication Inquiry"
"SPCOM","400","Digital Design Research Project"
"SPCOM","401","Gender, Communication and Culture"
"SPCOM","402","Advanced Intercultural Communication"
"SPCOM","403","Special Topics in Speech Communication and Technology"
"SPCOM","404","Communicating Across Differences: Spiritual Development in a Diverse World"
"SPCOM","420","Persuasion"
"SPCOM","426","Advanced Voice Technique"
"SPCOM","430","Communication and Social Justice"
"SPCOM","431","Crisis Communication"
"SPCOM","432","Conflict Management"
"SPCOM","433","The Organizational Consultant"
"SPCOM","434","The Discourse of Dissent"
"SPCOM","440","Performative Inquiry and Practice"
"SPCOM","475","Communication Ethics"
"SPCOM","490","Selected Seminars in Speech Communication"
"SPCOM","491","Selected Seminars in Speech Communication"
"SPCOM","499A","Senior Seminar"
"SPCOM","499B","Senior Seminar"
