subject,number,title
"STV","100","Society, Technology and Values: Introduction"
"STV","201","Society, Technology and Values: Special Topics"
"STV","202","Design and Society"
"STV","203","Biotechnology and Society"
"STV","205","Cybernetics and Society"
"STV","302","Information Technology and Society"
"STV","303","Cross-Cultural Change, Technology and Society"
"STV","400","Society, Technology and Values: Senior Project"
"STV","401","Society, Technology & Values: Advanced Topics"
"STV","404","Technology in Canadian Society"
