id,employer,date,start_time,end_time,location,website,audience,programs,description,term
2116,Accenture (Registration Needed to Attend),05-Sep-13,9:30 AM,1:00 PM,TBD,,3rd and 4th year Students,"Mathematics, Engineering, Computer Science","This event will be a preface to the fall information session.  We are offering you an opportunity to connect one-on-one with a Technology Consulting Analyst and the Executive Sponsor of the campus recruitment program.  You are welcome to ask questions pertaining to careers at Accenture, the day in the life of a Consulting Analyst, how to best prepare for a career with us, and any other questions you may have. Please register for a 15 minute session by contacting Andrew Davidson at abdavidson@uwaterloo.ca. ",1139
2093,McKinsey & Company,05-Sep-13,7:30 PM,9:00 PM,TC 2218,http://mckinsey.com/careers,Co-op and Graduating Students,"MASTERS - Management Sciences, MASTERS - Civil Engineering, Info Tech , Engineering, Business",1139
2082,Hulu,09-Sep-13,11:30 AM,1:30 PM,TC 2218,http://www.hulu.com,Co-op and Graduating Students,"Applied Mathematics, Computer Engineering, Computer Science, Software Engineering, Systems Design Engineering",1139
2107,FreshBooks,09-Sep-13,3:00 PM,4:30 PM,TC 2218,http://freshbooks.com/careers,Co-op and Graduating Students,"Mathematics, Engineering",1139
2006,Wal-mart,09-Sep-13,5:00 PM,7:00 PM,TC 2218,http://walmartoncampus.ca,Graduating Students,"Accounting and Financial Management, Business, Financial Management",1139
2051,GE Canada,09-Sep-13,5:00 PM,7:00 PM,South Campus Hall - Laurel Room,,Co-op and Graduating Students,Engineering,1139
2032,Gree International,09-Sep-13,7:30 PM,9:00 PM,TC 2218,http://www.gree.net,Co-op and Graduating Students,"Information Technology Management, Computer Science, Computer Engineering",1139
2087,Towers Watson,09-Sep-13,7:30 PM,9:00 PM,University Club - Main Dining Room,,Co-op and Graduating Students,"Financial Analysis & Risk Management, Business Administration, Applied Mathematics, Actuarial Science, Statistics",1139
2066,Facebook,10-Sep-13,11:30 AM,1:30 PM,TC 2218,http://www.facebook.com,Co-op and Graduating Students,"Electrical Engineering, Computer Science, Computer Engineering",1139
2109,Enflick,10-Sep-13,2:30 PM,4:00 PM,TC 2218,http://www.enflick.com,Co-op and Graduating Students,"Mathematics, Engineering",1139
1985,Yext,10-Sep-13,5:00 PM,7:00 PM,TC 2218,http://www.yext.com,Co-op and Graduating Students,"Computer Engineering, Computer Science, Engineering, Mathematics, Software Engineering",1139
1979,Bell,10-Sep-13,7:30 PM,9:00 PM,Quantum Building - lower atrium,http://bell.ca/campustocareer,Graduating Students,"Mathematics, Engineering, Business, Arts & Business, Applied Economics",1139
1984,CPP Investment Board,11-Sep-13,11:30 AM,1:30 PM,Laurel Room - SCH,,Co-op Students,"Mathematics, Engineering, Business, Arts, Accounting and Financial Management",This information session is open to ALL co-op students.,1139
2121,Telus,11-Sep-13,3:00 PM,5:00 PM,Laurel Room,,Co-op and Graduating Students,"Computer Engineering, Info Tech , Software Engineering, Systems Design Engineering",1139
1992,Noom,11-Sep-13,5:00 PM,7:00 PM,TC 2218,http://www.noom.com,Co-op Students,"Computer Engineering, Computer Science, Software Engineering, Systems Design Engineering",1139
2092,Aon Hewitt,11-Sep-13,5:00 PM,7:00 PM,QNC Lower Atrium ,http://www.aon.com,Co-op and Graduating Students,"Actuarial Science, Mathematics, Statistics",1139
2106,Pepsico Foods Canada,11-Sep-13,5:00 PM,7:00 PM,Festival Room,http://www.pepsico.ca,Co-op and Graduating Students,"Electrical Engineering, Environmental Studies, Environmental Engineering, Civil Engineering, Chemical Engineering, Business, Mechanical Engineering",1139
1981,Deloitte,11-Sep-13,7:30 PM,9:00 PM,Festival Room - SCH,http://deloitte.ca/campus,Co-op and Graduating Students,"Science & Business, Mathematics, Financial Management, Engineering, Business",1139
2057,Rogers Communications CATO,12-Sep-13,11:30 AM,1:30 PM,Laurel Room - SCH,http://www.jobs.rogers.com,Graduating Students,"Accounting and Financial Management, Accounting",1139
2084,Accenture,12-Sep-13,11:30 AM,1:30 PM,QNC Lower Atrium,http://www.accemture.ca/careers,Co-op and Graduating Students,"Info Tech , Engineering, Computer Science, Computer Engineering, Information Technology Management",1139
2099,Public Accounting Firms ,12-Sep-13,4:00 PM,8:00 PM,Waterloo Inn,,Co-op and Graduating Students,Accounting,"Employers: BDO, Deloitte, EY, KPMG, PwC, Grant Thornton, MNP. For 2A, 3A, 4A co-op students in AFM (CA Co-op option only) Math CA and Science CA and 4B students in AFM, Math CA and Science that plan to pursue MAcc in 2014.  Firms expect your attendance for ONLY 2 HOURS at this event. The event runs from 4:00pm to 8:00pm to accommodate students' class times. You are expected to attend your scheduled classes and, if interested, make time to attend this event for only a two hour period around you classes. To accommodate, shuttle buses will be offered. The first pick-up will be at 3:30pm at Ring Road outside of Hagey Hall for drop-off at Waterloo Inn by 3:50pm. Shuttles to-and-from the University/Waterloo Inn will run every half hour or so. The last pick-up at Waterloo Inn will be at 8:00pm with a departure time of 8:15pm.",1139
1988,Novantas Inc.,12-Sep-13,5:30 PM,7:00 PM,TC 2218,http://www.novantas.com,Graduating Students,"Mathematics, Engineering, Business",1139
2004,Bering Media Inc.,12-Sep-13,7:30 PM,9:00 PM,M3 3103,http://www.beringmedia.com,Co-op Students,"Systems Design Engineering, Software Engineering, Info Tech , Computer Science, Computer Engineering",1139
2054,AppDynamics,13-Sep-13,11:30 AM,1:30 PM,SCH Laurel Room,http://www.appdynamics.com,Co-op and Graduating Students,"Computer Engineering, Computer Science, Management Engineering, Software Engineering, Systems Design Engineering",1139
