id,employer,date,start_time,end_time,location,website,audience,programs,description
2818,EY,"January 7, 2015",11:30 AM,1:30 PM,TC 2218 ,www.ey.com/ca/apply,Co-op and Graduating Students,"MATH - Information Technology Management, MATH - Financial Analysis & Risk Management, MATH - Computing & Financial Management, MATH - Computer Science, ENG - System Design",
2880,Mozilla,"January 7, 2015",11:30 AM,1:30 PM,DC 1301 ,careers.mozilla.org/en-US/university/, Students,ENG - Software,"Mozilla is not just a great place to intern. It is an experience you will carry with you throughout your career.From the people you will meet and collaborate with - a passionate global community of technologists, thinkers and builders - to the opportunities you will have to learn and make the Web a better place, it is safe to say your internship with Mozilla will be unlike any other."
2809,CIBC,"January 7, 2015",5:00 PM,7:00 PM,TC 2218 ,,Co-op and Graduating Students,"ALL - MATH faculty, ALL - ENG faculty",
2739,Noom,"January 7, 2015",7:30 PM,9:30 PM,DC 1301 ,www.noom.com,Co-op and Graduating Students,"MATH - Pure Mathematics, MATH - Computer Science, ALL - ENG faculty","Noom creates fun and easy-to-use mobile apps that provide intelligent nutrition and exercise coaching. Our apps also provide users with recipes, weight loss tips, and the latest in health and fitness."
2816,Infusion,"January 8, 2015",11:30 AM,1:30 PM,TC 2218 ,www.infusion.com,Co-op and Graduating Students,"MATH - Computer Science, ENG - Software","Come and start your adventure with Infusion, a top-tier technology consultancy and recent winners of the mongoDB partner of the year and the Microsoft Application Developer partner of the year.  At Infusion, we bring positive disruption through technical innovation to some of the worlds top brands, including Samsung, Royal Bank of Canada and Rogers. With offices in New York, Toronto, Houston, Raleigh, London, Krakow, Wroclaw and Singapore, you will have the chance to see the world - come and speak with us on January 14th at noon to learn more about the opportunities waiting for you!"
2777,Enflick,"January 8, 2015",5:00 PM,7:00 PM,UC- Main Dining,www.enflick.com,Co-op and Graduating Students,"ALL - MATH faculty, ALL - ENG faculty, ARTS - Digital Arts Communication","Leveraging mobile, Enflick strives to push the boundaries in personal communication and sharing, making it more affordable, accessible, personal and simple. One of our products, TextNow, is one of the top apps for free texting and calling with over 20 million downloads and with our new partnership with Sprint, TextNow is now the first all-IP mobile carrier in the US! We believe that a smartphone experience should be affordable for everyone so we built a service with affordable plans, no contracts, no hidden costs or overage fees and excellent customer service for when you need it. We are looking for individuals passionate and dedicated in helping us achieve that vision."
2701,Maluuba Inc.,"January 8, 2015",7:30 PM,9:30 PM,TC 2218 ,www.maluuba.com/,Co-op and Graduating Students,"MATH - Computer Science, ALL - MATH faculty, ENG - Software, ENG - Computer, ALL - ENG faculty","At Maluuba, we\'re developing revolutionary search technology at the forefront of the Natural Language Processing (NLP) movement. No more keyword search for blue links; speak naturally and get exact results. We solve new problems every day in a fun, fast-paced environment.Feel free to check out our company page for a deeper look, but the gist is that our atmosphere is friendly, energetic and light hearted while remaining productive.  Our kitchen is fully supplied with lots of food and drinks; we provide daily lunch, dinner and snacks for all employees. We even have weekly Maluuba soccer games and bi-weekly movie nights. Join us and help invent the future!"
2821,OPSEU Pension Trust,"January 9, 2015",11:30 AM,1:30 PM,Fed Hall - Meeting Room 1,www.optrust.com,Co-op Students,"MATH - Financial Analysis & Risk Management, MATH - Computer Science, MATH - Applied Mathematics, MATH - Actuarial Science, ARTS - Accounting & Financial Management",
2804,CGI,"January 12, 2015",11:30 AM,1:30 PM,TC 2218 ,www.cgi.com,Co-op and Graduating Students,"ARTS - Arts & Business, ARTS - Financial Management, ALL - ENG faculty, ALL - MATH faculty",
2890,REGIONAL MUNICIPALITY OF YORK,"January 12, 2015",11:30 AM,1:30 PM,Fed Hall - Meeting Room 1,,Graduating Students,"MASTERS - Public Service, MASTERS - Political Science, MASTERS - Management Sciences, MASTERS - Economics","For: Masters- StatisticsThe Finance Department of The Regional Municipality of York is launching a new, first-of-its kind recruitment and development program for recent graduates looking to jump-start a career in public sector finance. The new Accelerated Advancement Program for Analysts (Triple A) opportunity with York Region is a paid, two-year rotational program targeted to Master-level graduates in fields such as economics, public policy, and finance."
