id,employer,date,start_time,end_time,location,website,audience,programs,description
2174,Actv8 Marketing,"January 7, 2014",11:30 AM,1:30 PM,TC 2218,,Co-op Students, ALL - Business,
2247,Mozilla,"January 7, 2014",11:30 AM,1:30 PM,SCH - Laurel Room,careers.mozilla.org/,Co-op Students,"ENG - Software, MATH - Information Technology Management, MATH - Computer Science",
2255,Facebook,"January 7, 2014",2:00 PM,4:00 PM,TC 2218,facebook.com,Co-op and Graduating Students,"MATH - Computer Science, MATH - Computational Mathematics, ENG - System Design, ENG - Software, ENG - Computer",
2219,Audatex Canada,"January 7, 2014",5:00 PM,7:00 PM,TC 2218 ,,Co-op Students,"MATH - Information Technology Management, ENG - System Design, ENG - Software, ENG - Computer",
2307,Amazon,"January 7, 2014",7:30 PM,9:00 PM,SCH - Festival Room,www.amazon.com/college,Co-op Students,"MATH - Computer Science, MATH - Computational Mathematics, ENG - Software, ENG - Computer",
2248,Enflick,"January 8, 2014",11:30 AM,1:30 PM,TC 2218,,Co-op and Graduating Students,"ALL - MATH faculty, ENG - System Design, ENG - Architecture, ALL - ENG faculty, ENG - Software, ENG - Nanotechnology, ENG - Mechatronics, ENG - Mechanical, ENG - Management, ENG - Geological, ENG - Environmental, ENG - Electrical, ENG - Computer, ENG - Civil, ENG - Chemical",
2218,Facebook,"January 8, 2014",5:00 PM,7:00 PM,TC 2218,FACEBOOK.COM,Co-op and Graduating Students,"ENG - Computer, ENG - Electrical, ENG - Mechatronics, ENG - Software, ENG - System Design",
2168,Deloitte,"January 8, 2014",7:30 PM,9:00 PM,SCH - Festival Room,,Co-op and Graduating Students,"MATH - Mathematical Studies, MATH - Mathematical Physics, MATH - Mathematical Optimization, MATH - Mathematical Finance, MATH - Mathematical Economics, MATH - Math & Business, MATH - Information Technology Management, MATH - Bioinformatics, ALL - MATH faculty, ENG - System Design, ENG - Software, ENG - Mechatronics, ENG - Mechanical, ENG - Management, ENG - Geological, ENG - Environmental, ENG - Electrical, ENG - Computer, ENG - Civil, ENG - Chemical, ALL - ENG faculty,  ALL - Info Tech",
2216,CPP Investment Board,"January 9, 2014",11:30 AM,1:30 PM,TC 2218,CPPIB.COM,Co-op Students,"SCI - Science & Business, MATH - Statistics, MATH - Pure Mathematics, MATH - Mathematical Studies, MATH - Mathematical Physics, MATH - Mathematical Optimization, MATH - Mathematical Finance, MATH - Mathematical Economics, MATH - Math & Business, MATH - Financial Analysis & Risk Management, MATH - Computing & Financial Management, MATH - Computer Science, MATH - Computational Mathematics, MATH - Combinatorics & Optimization, MATH - Business Administration, ALL - MATH faculty, MATH - Actuarial Science, ENG - System Design, ENG - Management, ENG - Computer, CA - Chartered Accounting, ARTS - Financial Management, ARTS - Economics, ARTS - Arts & Business,  ALL - Info Tech,  ALL - Business",
2169,Dropbox,"January 9, 2014",5:00 PM,7:00 PM,DC 1302,,Co-op Students,"ENG - Software, MATH - Computer Science, ENG - Computer",
