id,employer,date,start_time,end_time,location,website,coop/grad,programs,info
2116,Accenture (Registration Needed to Attend),"September 5, 2013",09:30 AM,1:00 PM,TBD,,3rd and 4th year Students,"Mathematics, Engineering, Computer Science","This event will be a preface to the fall information session.  We are offering you an opportunity to connect one-on-one with a Technology Consulting Analyst and the Executive Sponsor of the campus recruitment program.  You are welcome to ask questions pertaining to careers at Accenture, the day in the life of a Consulting Analyst, how to best prepare for a career with us, and any other questions you may have. </p>Please register for a 15 minute session by contacting Andrew Davidson at abdavidson@uwaterloo.ca. "
2093,McKinsey & Company,"September 5, 2013",7:30 PM,9:00 PM,TC 2218,http://mckinsey.com/careers,Co-op and Graduating Students,"MASTERS - Management Sciences, MASTERS - Civil Engineering, Info Tech , Engineering, Business",
2082,Hulu,"September 9, 2013",11:30 AM,1:30 PM,TC 2218,http://www.hulu.com,Co-op and Graduating Students,"Applied Mathematics, Computer Engineering, Computer Science, Software Engineering, Systems Design Engineering",
2107,FreshBooks,"September 9, 2013",3:00 PM,4:30 PM,TC 2218,http://freshbooks.com/careers,Co-op and Graduating Students,"Mathematics, Engineering",
2006,Wal-mart,"September 9, 2013",5:00 PM,7:00 PM,TC 2218,http://walmartoncampus.ca,Graduating Students,"Accounting and Financial Management, Business, Financial Management",
2051,GE Canada,"September 9, 2013",5:00 PM,7:00 PM,South Campus Hall - Laurel Room,,Co-op and Graduating Students,Engineering,
2032,Gree International,"September 9, 2013",7:30 PM,9:00 PM,TC 2218,http://www.gree.net,Co-op and Graduating Students,"Information Technology Management, Computer Science, Computer Engineering",
2087,Towers Watson,"September 9, 2013",7:30 PM,9:00 PM,University Club - Main Dining Room,,Co-op and Graduating Students,"Financial Analysis & Risk Management, Business Administration, Applied Mathematics, Actuarial Science, Statistics",
2066,Facebook,"September 10, 2013",11:30 AM,1:30 PM,TC 2218,http://www.facebook.com,Co-op and Graduating Students,"Electrical Engineering, Computer Science, Computer Engineering",
2109,Enflick,"September 10, 2013",2:30 PM,4:00 PM,TC 2218,http://www.enflick.com,Co-op and Graduating Students,"Mathematics, Engineering",
1985,Yext,"September 10, 2013",5:00 PM,7:00 PM,TC 2218,http://www.yext.com,Co-op and Graduating Students,"Computer Engineering, Computer Science, Engineering, Mathematics, Software Engineering",
1979,Bell,"September 10, 2013",7:30 PM,9:00 PM,Quantum Building - lower atrium,http://bell.ca/campustocareer,Graduating Students,"Mathematics, Engineering, Business, Arts & Business, Applied Economics",
1984,CPP Investment Board,"September 11, 2013",11:30 AM,1:30 PM,Laurel Room - SCH,,Co-op Students,"Mathematics, Engineering, Business, Arts, Accounting and Financial Management",This information session is open to ALL co-op students.
2121,Telus,"September 11, 2013",3:00 PM,5:00 PM,Laurel Room,,Co-op and Graduating Students,"Computer Engineering, Info Tech , Software Engineering, Systems Design Engineering",
1992,Noom,"September 11, 2013",5:00 PM,7:00 PM,TC 2218,http://www.noom.com,Co-op Students,"Computer Engineering, Computer Science, Software Engineering, Systems Design Engineering",
2092,Aon Hewitt,"September 11, 2013",5:00 PM,7:00 PM,QNC Lower Atrium ,http://www.aon.com,Co-op and Graduating Students,"Actuarial Science, Mathematics, Statistics",
2106,Pepsico Foods Canada,"September 11, 2013",5:00 PM,7:00 PM,Festival Room,http://www.pepsico.ca,Co-op and Graduating Students,"Electrical Engineering, Environmental Studies, Environmental Engineering, Civil Engineering, Chemical Engineering, Business, Mechanical Engineering",
1981,Deloitte,"September 11, 2013",7:30 PM,9:00 PM,Festival Room - SCH,http://deloitte.ca/campus,Co-op and Graduating Students,"Science & Business, Mathematics, Financial Management, Engineering, Business",
2057,Rogers Communications CATO,"September 12, 2013",11:30 AM,1:30 PM,Laurel Room - SCH,http://www.jobs.rogers.com,Graduating Students,"Accounting and Financial Management, Accounting",
2084,Accenture,"September 12, 2013",11:30 AM,1:30 PM,QNC Lower Atrium,http://www.accemture.ca/careers,Co-op and Graduating Students,"Info Tech , Engineering, Computer Science, Computer Engineering, Information Technology Management",
2099,Public Accounting Firms ,"September 12, 2013",4:00 PM,8:00 PM,Waterloo Inn,,Co-op and Graduating Students,Accounting,"Employers: BDO, Deloitte, EY, KPMG, PwC, Grant Thornton, MNP. </p>For 2A, 3A, 4A co-op students in AFM (CA Co-op option only) Math CA and Science CA and 4B students in AFM, Math CA and Science that plan to pursue MAcc in 2014. </p> Firms expect your attendance for ONLY 2 HOURS at this event. The event runs from 4:00pm to 8:00pm to accommodate students' class times. You are expected to attend your scheduled classes and, if interested, make time to attend this event for only a two hour period around you classes. To accommodate, shuttle buses will be offered. The first pick-up will be at 3:30pm at Ring Road outside of Hagey Hall for drop-off at Waterloo Inn by 3:50pm. Shuttles to-and-from the University/Waterloo Inn will run every half hour or so. The last pick-up at Waterloo Inn will be at 8:00pm with a departure time of 8:15pm."
1988,Novantas Inc.,"September 12, 2013",5:30 PM,7:00 PM,TC 2218,http://www.novantas.com,Graduating Students,"Mathematics, Engineering, Business",
2004,Bering Media Inc.,"September 12, 2013",7:30 PM,9:00 PM,M3 3103,http://www.beringmedia.com,Co-op Students,"Systems Design Engineering, Software Engineering, Info Tech , Computer Science, Computer Engineering",
2054,AppDynamics,"September 13, 2013",11:30 AM,1:30 PM,SCH Laurel Room,http://www.appdynamics.com,Co-op and Graduating Students,"Computer Engineering, Computer Science, Management Engineering, Software Engineering, Systems Design Engineering",
2118,Oliver Wyman,"September 13, 2013",11:30 AM,1:30 PM,AL 208,,Graduating Students,"Statistics, Sociology, Scientific Computation, Science & Business, Science, SCI - Psychology, SCI - Bioinformatics, Rhetoric & Professional Writing, Recreation & Leisure Studies, Recreation & Business Management, Pure Mathematics, Psychology, Professional Writing, Political Science, Planning, Physics, Philosophy, Pharmacy, Nanotechnology, Mechatronics Engineering, Mechanical Engineering, Mathematics, Mathematical Studies, Mathematical Physics, Mathematical Optimization, Mathematical Finance, Mathematical Economics, Management Accounting, Knowledge Integration, Kinesiology, International Development, Information Technology Management, Info Tech , Human Resources, History, Health Studies & Gerontology, Health Informatics, Geomatics, Geology & Hydrogeology, Geological Engineering, Geography & Environmental Management, Financial Management, Financial Analysis & Risk Management, Environmental Studies, Environmental Science, Environmental Engineering, Environment & Resource Studies, Environment & Business, English, Electrical Engineering, Economics, Earth Sciences, Digital Arts Communication, Computing and Financial Management, Computational Mathematics, Combinatorics & Optimization, Civil Engineering, Chemistry, Chemical Engineering, Business Administration, Business, Biotechnology & Economics, Biology, Biochemistry, Arts & Business, Arts, Architecture, Applied Mathematics, Applied Health Science, Applied Economics, Anthropology, Actuarial Science, Accounting and Financial Management, Accounting",
2133,DBRS Global Technology,"September 13, 2013",3:00 PM,5:00 PM,SCH Laurel Room,http://www.dbrs.com,Co-op and Graduating Students,"Mathematics, Info Tech , Engineering",
2038,Intelligent Mechatronic Systems Inc.,"September 16, 2013",11:30 AM,1:30 PM,TC 2218,http://www.intellimec.com,Co-op and Graduating Students,"Software Engineering, Mechatronics Engineering, Computer Science, Computer Engineering",
2104,Capital One,"September 16, 2013",2:30 PM,4:00 PM,SLC Bombshelter Pub,http://www.capitalone.ca,Graduating Students,"Computer Engineering, Civil Engineering, Business",
1980,Mercer Canada Ltd.,"September 16, 2013",5:00 PM,7:00 PM,University Club - Main Dining Room,http://mercer.ca/careers,Co-op and Graduating Students,"Statistics, Mathematics, Actuarial Science",
2040,Bloomberg,"September 16, 2013",5:00 PM,7:00 PM,QNC Lower Atrium,http://bloomberg.com/careers,Co-op and Graduating Students,"Systems Design Engineering, Software Engineering, Electrical Engineering, Computer Engineering",
2008,Telus CATO,"September 16, 2013",5:30 PM,7:30 PM,TC 2218,,Co-op Students,"Management Accounting, Business, Accounting and Financial Management, Accounting",
2010,Twitter,"September 16, 2013",7:30 PM,9:00 PM,QNC Seminar Room,,Co-op and Graduating Students,Engineering,
1978,Desire2Learn,"September 17, 2013",11:30 AM,1:30 PM,TC 2218,http://www.desire2learn.com,Co-op and Graduating Students,"Systems Design Engineering, Software Engineering, Information Technology Management, Computer Science, Computer Engineering","Desire2Learn is helping to transform the way the world learns! We are in a period of rapid expansion and require the best of the best to help us design and deliver on our upcoming products. If you are looking for a chance to truly have an impact on a learning system used by over 10 million people worldwide (including University of Waterloo), visit our Networking Session to find out where you fit into our growth!"
2102,Procter & Gamble Inc.,"September 17, 2013",11:30 AM,1:30 PM,South Campus Hall - Laurel Room,http://canada.experiencepg.com,Co-op and Graduating Students,"Mechatronics Engineering, Mechanical Engineering, Environmental Engineering, Electrical Engineering, Civil Engineering, Chemical Engineering",
2100,National Bank of Canada,"September 17, 2013",2:30 PM,4:00 PM,TC 2218,http://www.nbc.ca,Co-op and Graduating Students,"Business, Engineering, Info Tech , Mathematics",
1999,Amazon,"September 17, 2013",5:00 PM,7:00 PM,TC 2218,http://www.amazon.com/college,Co-op and Graduating Students,"Software Engineering, Info Tech , Computer Science, Computer Engineering, Computational Mathematics",
2022,Agrium Inc.,"September 17, 2013",5:00 PM,7:00 PM,SCH Laurel Room,,Graduating Students,"Mechanical Engineering, Electrical Engineering, Chemical Engineering",
1989,Manulife,"September 17, 2013",5:00 PM,7:30 PM,TC Atirum,,Co-op Students,"Financial Management, Business, Actuarial Science, Accounting and Financial Management",
2003,Manulife,"September 17, 2013",7:30 PM,9:00 PM,TC 2218,,Co-op Students,"Systems Design Engineering, Software Engineering, Computing and Financial Management, Computer Science, Computer Engineering",
2072,Shell Canada Ltd.,"September 17, 2013",7:30 PM,9:00 PM,SCH Festival Room,http://www.shell.ca,Co-op and Graduating Students,"Mechanical Engineering, Geological Engineering, Environmental Engineering, Electrical Engineering, Chemical Engineering","Shell is looking for talented Engineering students and graduates to join our team and we invite you to attend our information session for an opportunity to meet and network with Shell employees, learn about current employment and internship opportunities, our recruitment process, and discover why we love working for Shell! Speakers will include Shell representatives and recruitment staff. Food and beverages will be provided.  We look forward to seeing you there!"
1996,Suncor Energy,"September 18, 2013",11:30 AM,1:30 PM,TC 2218,http://www.suncor.com,Co-op and Graduating Students,"Mechanical Engineering, Electrical Engineering, Civil Engineering, Chemical Engineering","Full time postings are currently on Jobmine, app deadline Sept 17.  Pls apply asap.  Bring extra resumes to Info Session"
2095,Bazaarvoice,"September 18, 2013",11:30 AM,1:30 PM,Laruel Room,http://bazaarvoice.com,Co-op and Graduating Students,"Software Engineering, Computer Science",
2117,Airbnb,"September 18, 2013",11:30 AM,1:30 PM,DC 1301,,Co-op and Graduating Students,Computer Engineering,
2081,IBM Global Business Services,"September 18, 2013",3:00 PM,5:00 PM,SCH Laurel Room,,Co-op and Graduating Students,Business,
1997,BlackBerry,"September 18, 2013",5:00 PM,7:00 PM,QNC - Lower Atrium,"http://blackberry,com",Co-op Students,"Mathematics, Info Tech , Engineering, Business, Arts",
2043,Suncor Energy,"September 18, 2013",7:30 PM,9:00 PM,QNC Seminar Room,,Co-op and Graduating Students,Business,
2083,IBM Global Business Services,"September 18, 2013",7:30 PM,9:00 PM,TC 2218,,Co-op and Graduating Students,"Mathematics, Info Tech , Financial Management, Engineering",
2055,Ernst and Young,"September 19, 2013",11:30 AM,1:30 PM,TC 2218,http://www.ey.com/CA/apply,Co-op and Graduating Students,Computing and Financial Management,
2065,TD Bank,"September 19, 2013",11:30 AM,1:30 PM,SCH Laurel Room,http://www.td.com,Co-op and Graduating Students,"Software Engineering, Info Tech , Computer Engineering",
2097,Zynga,"September 19, 2013",2:30 PM,4:00 PM,SLC Bomber,http://www.zynga.com/students,Co-op and Graduating Students,"Systems Design Engineering, Software Engineering, Computer Engineering",
2110,Counsyl*,"September 19, 2013",2:30 PM,4:30 PM,TBD,http://jobs.counsyl.com,Graduating Students,"Physics, Mathematics, Biochemistry",
1987,Palantir Technologies,"September 19, 2013",5:00 PM,7:00 PM,TC 2218A/B,http://www.palantir.com,Co-op and Graduating Students,"Computer Engineering, Electrical Engineering, MASTERS - Peace and Conflict Studies, Mathematics, Software Engineering",
