Exam,Section,Day,Date,Start,End,Location
ACTSC 221,001,Thursday,"August 4, 2011",4:00 PM,6:30 PM,PAC 4
ACTSC 231,"001,002",Friday,"August 12, 2011",9:00 AM,11:30 AM,"PAC 1,2,3"
ACTSC 232,001,Saturday,"August 6, 2011",7:30 PM,10:00 PM,"PAC 1,2"
ACTSC 331,001,Thursday,"August 11, 2011",12:30 PM,3:00 PM,"PAC 5,6"
ACTSC 371,001,Thursday,"August 4, 2011",12:30 PM,3:00 PM,"PAC 7,8"
ACTSC 372,001,Wednesday,"August 10, 2011",9:00 AM,11:30 AM,"MC 2034,2035,2038"
ACTSC 431,001,Saturday,"August 13, 2011",9:00 AM,11:30 AM,"PAC 7,8"
ACTSC 432,001,Friday,"August 5, 2011",12:30 PM,3:00 PM,"PAC 7,8"
ACTSC 445,001,Wednesday,"August 10, 2011",4:00 PM,6:30 PM,"PAC 1,2"
ACTSC 831,001,Saturday,"August 13, 2011",9:00 AM,11:30 AM,"PAC 7,8"
ACTSC 832,001,Friday,"August 5, 2011",12:30 PM,3:00 PM,"PAC 7,8"
ACTSC 845,001,Wednesday,"August 10, 2011",4:00 PM,6:30 PM,"PAC 1,2"
AFM 101,001,Tuesday,"August 2, 2011",7:30 PM,10:00 PM,"PAC 1,2"
AFM 102,001,Tuesday,"August 2, 2011",4:00 PM,6:30 PM,"PAC 1,2,3"
AFM 231,001 to 006,Thursday,"August 4, 2011",12:30 PM,2:30 PM,"DC 1350,1351,MC 4020,4021"
AFM 241,001 to 004,Tuesday,"August 2, 2011",7:30 PM,10:00 PM,"PAC 4,5,6"
AFM 271,001 to 005,Wednesday,"August 10, 2011",7:30 PM,10:00 PM,"PAC 1,2,3"
AFM 272,"001,002",Wednesday,"August 10, 2011",7:30 PM,10:00 PM,PAC 4
AFM 331,001 to 004,Monday,"August 8, 2011",12:30 PM,3:00 PM,"PAC 1,2,3"
AFM 341,001 to 004,Friday,"August 12, 2011",9:00 AM,11:00 AM,"PAC 7,8"
AFM 361,001 to 004,Friday,"August 5, 2011",12:30 PM,3:00 PM,"PAC 1,2,3"
AFM 431,001 to 004,Tuesday,"August 2, 2011",4:00 PM,6:30 PM,"PAC 4,5"
AFM 474,001,Thursday,"August 4, 2011",9:00 AM,11:30 AM,"PAC 9,10"
AMATH 231,001,Friday,"August 5, 2011",4:00 PM,6:30 PM,MC 2017
AMATH 242,001,Wednesday,"August 3, 2011",9:00 AM,11:30 AM,PAC 5
AMATH 250,001,Wednesday,"August 10, 2011",9:00 AM,11:30 AM,"DC 1350,1351"
AMATH 261,001,Tuesday,"August 9, 2011",7:30 PM,10:00 PM,MC 4061
AMATH 332,001,Monday,"August 8, 2011",9:00 AM,11:30 AM,"PAC 9,10"
AMATH 351,001,Thursday,"August 4, 2011",7:30 PM,10:00 PM,PAC 1
AMATH 353,001,Friday,"August 5, 2011",4:00 PM,6:30 PM,MC 4058
ANTH 102,001,Wednesday,"August 3, 2011",12:30 PM,3:00 PM,"PAC 2,3"
ARBUS 202,001,Wednesday,"August 10, 2011",12:30 PM,3:00 PM,DC 1350
ARCH 276,002,Tuesday,"August 9, 2011",4:00 PM,6:30 PM,CPH 3607
BIOL 120,001,Saturday,"August 13, 2011",4:00 PM,6:30 PM,PAC 8
BIOL 130,001,Tuesday,"August 2, 2011",4:00 PM,6:30 PM,"PAC 11,12"
BIOL 139,001,Thursday,"August 11, 2011",4:00 PM,6:30 PM,PAC 3
BIOL 140,001,Thursday,"August 4, 2011",9:00 AM,11:30 AM,"PAC 11,12"
BIOL 208,001,Thursday,"August 11, 2011",12:30 PM,3:00 PM,PAC 8
BIOL 241,001,Monday,"August 8, 2011",12:30 PM,3:00 PM,"PAC 7,8"
BIOL 273,001,Tuesday,"August 9, 2011",9:00 AM,11:30 AM,"PAC 7,8"
BIOL 273L,"001,003,004",Wednesday,"August 3, 2011",4:00 PM,5:00 PM,"PAC 11,12"
BIOL 303,001,Friday,"August 5, 2011",12:30 PM,3:00 PM,"PAC 11,12"
BIOL 308,001,Tuesday,"August 2, 2011",4:00 PM,6:30 PM,"PAC 7,8"
BIOL 342,001,Saturday,"August 6, 2011",7:30 PM,10:00 PM,PAC 8
BIOL 354,001,Wednesday,"August 10, 2011",4:00 PM,6:30 PM,"PAC 11,12"
BUS 111W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 121W ,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 231W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 247W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 352W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 353W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 357W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 362W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 393W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 395W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 397W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 398W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 413W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 417W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 423W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 443W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 447W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 456W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 463W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 466W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 467W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 473W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 477W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 481W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
BUS 486W,See https://www.wlu.ca/page.php?grp_id=1366&amp;p=14749,,,,,WLU
