Exam,Section(s),Day,Date,Start,End,Location(s)
ACTSC 221,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,"PAC  9,10"
ACTSC 231,"001,002",Tuesday,"December 20, 2011",9:00 AM,11:30 AM,"PAC 4,5,6,7"
ACTSC 232,001,Wednesday,"December 14, 2011",7:30 PM,10:00 PM,"PAC 7,8"
ACTSC 331,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,M3 1006
ACTSC 371,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,"MC 4020,4021,4059,4061"
ACTSC 372,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,"DC 1350,1351"
ACTSC 431,001,Thursday,"December 8, 2011",4:00 PM,6:30 PM,M3 1006
ACTSC 432,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,PAC 3
ACTSC 445,001,Saturday,"December 17, 2011",4:00 PM,6:30 PM,"PAC 7,8"
ACTSC 446,001,Monday,"December 12, 2011",4:00 PM,6:30 PM,M3 1006
ACTSC 463,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,RCH 103
ACTSC 471,"001,002",Monday,"December 19, 2011",4:00 PM,6:30 PM,"MC 4059,4061"
ACTSC 831,001,Thursday,"December 8, 2011",4:00 PM,6:30 PM,M3 1006
ACTSC 832,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,PAC 3
ACTSC 845,001,Saturday,"December 17, 2011",4:00 PM,6:30 PM,"PAC 7,8"
ACTSC 846,001,Monday,"December 12, 2011",4:00 PM,6:30 PM,M3 1006
ACTSC 863,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,RCH 103
AFM 101,001 to 006,Thursday,"December 15, 2011",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,11,12"
AFM 101,051 (UAE),Sunday,"December 11, 2011",9:00 AM,11:30 AM,Exam Hall
AFM 102,051 (UAE),Wednesday,"December 7, 2011",9:00 AM,11:30 AM,Z-242
AFM 123,001,Thursday,"December 15, 2011",9:00 AM,11:30 AM,DC 1350
