Exam,Section(s),Day,Date,Start,End,Location
ACTSC 221,001,Friday,"August 3, 2012",7:30 PM,10:00 PM,PAC 1
ACTSC 231,"001,002",Thursday,"August 2, 2012",7:30 PM,10:00 PM,"PAC 1,2,3"
ACTSC 232,001,Tuesday,"August 7, 2012",4:00 PM,6:30 PM,"PAC 7,8"
ACTSC 331,001,Tuesday,"August 7, 2012",7:30 PM,10:00 PM,PAC 4
ACTSC 371,001,Wednesday,"August 8, 2012",12:30 PM,3:00 PM,"PAC 1,2"
ACTSC 372,001,Saturday,"August 4, 2012",12:30 PM,3:00 PM,"PAC 1,2"
ACTSC 431,001,Friday,"August 3, 2012",9:00 AM,11:30 AM,"PAC 1,2"
ACTSC 432,001,Tuesday,"August 7, 2012",4:00 PM,6:30 PM,"PAC 5,6"
ACTSC 445,001,Thursday,"August 9, 2012",12:30 PM,3:00 PM,"PAC 1,2"
ACTSC 831,001,Friday,"August 3, 2012",9:00 AM,11:30 AM,"PAC 1,2"
ACTSC 832,001,Tuesday,"August 7, 2012",4:00 PM,6:30 PM,"PAC 5,6"
ACTSC 845,001,Thursday,"August 9, 2012",12:30 PM,3:00 PM,"PAC 1,2"
AFM 101,001,Thursday,"August 2, 2012",7:30 PM,10:00 PM,"PAC 4,5"
AFM 102,001,Wednesday,"August 1, 2012",7:30 PM,10:00 PM,"DC 1350,1351"
AFM 231,001 to 005,Monday,"July 30, 2012",4:00 PM,6:00 PM,"PAC 7,8,11,12"
AFM 241,001 to 004,Tuesday,"July 31, 2012",4:00 PM,6:00 PM,"PAC 7,8,9,10"
AFM 271,001 to 004,Tuesday,"August 7, 2012",7:30 PM,9:00 PM,"PAC 7,8,9,10"
AFM 272,"001,002",Tuesday,"August 7, 2012",7:30 PM,9:00 PM,PAC 6
AFM 331,001 to 005,Tuesday,"August 7, 2012",12:30 PM,3:00 PM,"PAC 1,2,3,4"
AFM 341,001 to 004,Monday,"July 30, 2012",9:00 AM,11:30 AM,"PAC 7,8,9,10"
AFM 361,001 to 005,Tuesday,"July 31, 2012",12:30 PM,2:30 PM,"PAC 7,8,11,12"
AFM 474,001,Friday,"August 3, 2012",9:00 AM,11:30 AM,PAC 5
AMATH 231,001,Friday,"August 10, 2012",9:00 AM,11:30 AM,PAC 6
AMATH 242,001,Monday,"July 30, 2012",4:00 PM,6:30 PM,PAC 6
