Exam,Section(s),Day,Date,Start Time,End Time,Location,,,,,,,,,,,
ACTSC 221,001,Thursday,"December 19, 2013",12:30 PM,3:00 PM,PAC 1,,,,,,,,,,,
ACTSC 231,001,Thursday,"December 19, 2013",9:00 AM,11:30 AM,"PAC 4,5,6",,,,,,,,,,,
ACTSC 232,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,"MC 4059,4060,4061",,,,,,,,,,,
ACTSC 331,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,,
ACTSC 371,001,Friday,"December 13, 2013",9:00 AM,11:30 AM,"M3 1006,MC 1056",,,,,,,,,,,
ACTSC 372,001,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,,
ACTSC 431,001,Wednesday,"December 11, 2013",4:00 PM,6:30 PM,"MC 2034,2035,2038",,,,,,,,,,,
ACTSC 432,001,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,,
ACTSC 445,001,Saturday,"December 7, 2013",4:00 PM,6:30 PM,"RCH 103,105",,,,,,,,,,,
ACTSC 446,001,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,"RCH 301,309",,,,,,,,,,,
ACTSC 463,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,MC 4045,,,,,,,,,,,
ACTSC 471,"001,002",Saturday,"December 7, 2013",12:30 PM,2:30 PM,"MC 4020,4021",,,,,,,,,,,
ACTSC 831,001,Wednesday,"December 11, 2013",4:00 PM,6:30 PM,"MC 2034,2035,2038",,,,,,,,,,,
ACTSC 832,001,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,,
ACTSC 845,001,Saturday,"December 7, 2013",4:00 PM,6:30 PM,"RCH 103,105",,,,,,,,,,,
ACTSC 846,001,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,"RCH 301,309",,,,,,,,,,,
ACTSC 863,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,MC 4045,,,,,,,,,,,
AFM 101,001 to 006,Tuesday,"December 10, 2013",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,
AFM 123,001,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,"PAC 8,9,10",,,,,,,,,,,
AFM 131,001 to 006,Thursday,"December 12, 2013",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,
AFM 131,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
AFM 204,"001,002",Monday,"December 16, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
AFM 273,001 to 005,Friday,"December 6, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
AFM 274,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,RCH 205,,,,,,,,,,,
AFM 291,001 to 005,Monday,"December 9, 2013",12:30 PM,3:00 PM,"M3 1006,MC4059,4060,4061",,,,,,,,,,,
AFM 321,001,Wednesday,"December 18, 2013",7:30 PM,9:30 PM,MC 2017,,,,,,,,,,,
AFM 323,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,PAC 4,,,,,,,,,,,
AFM 333,001 to 003,Thursday,"December 12, 2013",7:30 PM,10:00 PM,"PAC 7,8,12",,,,,,,,,,,
AFM 341,001 to 004,Thursday,"December 5, 2013",12:30 PM,2:30 PM,See Prof,,,,,,,,,,,
AFM 362,001 to 005,Tuesday,"December 17, 2013",12:30 PM,3:00 PM,"PAC 4,5,6",,,,,,,,,,,
AFM 372,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,RCH 211,,,,,,,,,,,
AFM 373,001 to 006,Monday,"December 9, 2013",12:30 PM,2:30 PM,"DC 1350,1351",,,,,,,,,,,
AFM 391,001 to 005,Friday,"December 13, 2013",4:00 PM,6:30 PM,"PAC 7,8,11,12",,,,,,,,,,,
AFM 401,001 to 005,Thursday,"December 5, 2013",7:30 PM,10:00 PM,"PAC 7,8,11,12",,,,,,,,,,,
AFM 415,001,Wednesday,"December 18, 2013",9:00 AM,11:30 AM,RCH 306,,,,,,,,,,,
AFM 451,001 to 003,Exam removed from the schedule.  Contact instructor for further information,,,,,,,,,,,,,,,
AFM 461,001 to 005,Monday,"December 9, 2013",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,,,,,,
AFM 471,001 to 004,Saturday,"December 7, 2013",12:30 PM,2:30 PM,"DC 1350,1351",,,,,,,,,,,
AFM 472,001 to 003,Saturday,"December 14, 2013",9:00 AM,11:30 AM,"PAC 7,8",,,,,,,,,,,
AFM 476,"001,002",Saturday,"December 7, 2013",12:30 PM,2:30 PM,"MC 4020,4021",,,,,,,,,,,
AFM 481,001 to 003,Wednesday,"December 18, 2013",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,,
AFM 482,001 to 004,Wednesday,"December 11, 2013",9:00 AM,11:00 AM,"DC 1350,1351",,,,,,,,,,,
AFM 491,001 to 003,Monday,"December 16, 2013",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,
AMATH 231,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,RCH 204,,,,,,,,,,,
AMATH 250,001,Thursday,"December 19, 2013",7:30 PM,10:00 PM,"PAC 4,5",,,,,,,,,,,
AMATH 251,001,Friday,"December 6, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
AMATH 271,001,Saturday,"December 7, 2013",9:00 AM,11:30 AM,RCH 204,,,,,,,,,,,
AMATH 331,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,RCH 301,,,,,,,,,,,
AMATH 350,001,Friday,"December 13, 2013",4:00 PM,6:30 PM,"RCH 302,305",,,,,,,,,,,
AMATH 351,001,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,PAC 11,,,,,,,,,,,
AMATH 453,001,Wednesday,"December 11, 2013",9:00 AM,11:30 AM,PAC 9,,,,,,,,,,,
AMATH 456,001,Friday,"December 13, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
AMATH 463,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,RCH 211,,,,,,,,,,,
AMATH 473,001,Monday,"December 9, 2013",7:30 PM,10:00 PM,PAC 11,,,,,,,,,,,
AMATH 663,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,RCH 211,,,,,,,,,,,
AMATH 673,001,Monday,"December 9, 2013",7:30 PM,10:00 PM,PAC 11,,,,,,,,,,,
ANTH 101,001,Tuesday,"December 17, 2013",7:30 PM,9:30 PM,"DC 1350,1351",,,,,,,,,,,
ANTH 102,001,Thursday,"December 19, 2013",9:00 AM,11:00 AM,DC 1350,,,,,,,,,,,
ANTH 201,001,Wednesday,"December 11, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
ANTH 260,001,Friday,"December 6, 2013",7:30 PM,9:30 PM,See Prof,,,,,,,,,,,
ANTH 321,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
ANTH 348,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ANTH 352,001,Monday,"December 9, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
ANTH 355,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
APPLS 205R,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
APPLS 301,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ARBUS 101,"001,002",Thursday,"December 12, 2013",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,
ARBUS 202,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ARBUS 301,001 to 003,Thursday,"December 12, 2013",7:30 PM,10:00 PM,"PAC 7,8,12",,,,,,,,,,,
ARTS 125,001,Friday,"December 13, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ARTS 190,001,Friday,"December 20, 2013",9:00 AM,11:00 AM,See Prof,,,,,,,,,,,
BIOL 110,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,,,,,,
BIOL 130,001 to 004,Tuesday,"December 10, 2013",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12",,,,,,,,,,,
BIOL 130,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
BIOL 150,"001,002",Wednesday,"December 18, 2013",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6",,,,,,,,,,,
BIOL 239,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
BIOL 240,"001,002",Friday,"December 13, 2013",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,9,10",,,,,,,,,,,
BIOL 240,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
BIOL 240L,001 to 020,Tuesday,"December 17, 2013",12:30 PM,1:30 PM,"M3 1006, DC 1350,1351",,,,,,,,,,,
BIOL 302,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,"DC 1350,1351,MC 1085",,,,,,,,,,,
BIOL 303,001,Monday,"December 16, 2013",9:00 AM,11:30 AM,"DC 1350,1351",,,,,,,,,,,
