Exam,Section(s),Day,Date,Start,End,Location,
ACTSC 221,001,Wednesday,"August 13, 2014",4:00 PM,6:30 PM,PAC 3,
ACTSC 231,001,Tuesday,"August 12, 2014",4:00 PM,6:30 PM,"PAC 1,2,3",
ACTSC 232,001,Saturday,"August 9, 2014",7:30 PM,10:00 PM,"PAC 1,2",
ACTSC 331,001,Monday,"August 11, 2014",7:30 PM,10:00 PM,PAC 1,
ACTSC 371,001,Friday,"August 8, 2014",7:30 PM,10:00 PM,"PAC 1,2",
ACTSC 372,001,Friday,"August 8, 2014",12:30 PM,3:00 PM,"PAC 1,2",
ACTSC 431,001,Thursday,"August 14, 2014",9:00 AM,11:30 AM,"PAC 1,2",
ACTSC 432,001,Tuesday,"August 12, 2014",4:00 PM,6:30 PM,PAC 4,
ACTSC 445,001,Wednesday,"August 6, 2014",12:30 PM,3:00 PM,"PAC 1,2",
ACTSC 831,001,Thursday,"August 14, 2014",9:00 AM,11:30 AM,"PAC 1,2",
ACTSC 832,001,Tuesday,"August 12, 2014",4:00 PM,6:30 PM,PAC 4,
ACTSC 845,001,Wednesday,"August 6, 2014",12:30 PM,3:00 PM,"PAC 1,2",
AFM 101,001,Thursday,"August 7, 2014",9:00 AM,11:30 AM,"PAC 4,5",
AFM 102,001,Tuesday,"August 5, 2014",12:30 PM,3:00 PM,"PAC 4,5",
AFM 121,001,Monday,"August 11, 2014",9:00 AM,11:00 AM,MC 4040,
AFM 211,001,Exam removed from the schedule.  Contact instructor for further information.,,,,,
AFM 231,001 to 005,Monday,"August 11, 2014",12:30 PM,3:00 PM,"PAC 1,2,3",
AFM 241,001 to 004,Wednesday,"August 13, 2014",12:30 PM,2:30 PM,"CPH 1346, E2 1310, PAS 1237",
AFM 272,"001,002",Thursday,"August 14, 2014",9:00 AM,11:00 AM,CPH 1346,
AFM 273,001,Thursday,"August 14, 2014",9:00 AM,11:00 AM,CPH 1346,
AFM 274,001 to 004,Wednesday,"August 6, 2014",9:00 AM,11:30 AM,"PAC 1,2,3",
AFM 280,001 to 006,Friday,"August 15, 2014",12:30 PM,3:00 PM,"PAC 4,5,6",
AFM 322,001,Tuesday,"August 12, 2014",7:30 PM,9:30 PM,MC 4020,
AFM 351,001 to 004,Monday,"August 11, 2014",12:30 PM,3:00 PM,"CPH 1346, E2 1310, PAS 1237",
