Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,,,,,,,,,,
ACTSC 221,001,Tuesday,"December 16, 2014",7:30 PM,10:00 PM,PAC 6,,,,,,,,,,,,,,,
ACTSC 231,001,Friday,"December 5, 2014",9:00 AM,11:30 AM,"RCH 301,302,305,306,307",,,,,,,,,,,,,,,
ACTSC 232,001,Saturday,"December 6, 2014",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,,,,,,
ACTSC 331,001,Wednesday,"December 17, 2014",4:00 PM,6:30 PM,PAC 1,,,,,,,,,,,,,,,
ACTSC 371,001,Wednesday,"December 10, 2014",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,,,,,,,,
ACTSC 372,001,Thursday,"December 11, 2014",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,,,,,,,,
ACTSC 431,001,Saturday,"December 13, 2014",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,,,,,,
ACTSC 432,001,Thursday,"December 11, 2014",4:00 PM,6:30 PM,RCH 301,,,,,,,,,,,,,,,
ACTSC 445,001,Tuesday,"December 9, 2014",9:00 AM,11:30 AM,"RCH 110,112",,,,,,,,,,,,,,,
ACTSC 446,001,Wednesday,"December 10, 2014",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,,,,,
ACTSC 463,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,RCH 307,,,,,,,,,,,,,,,
ACTSC 471,001,Monday,"December 8, 2014",9:00 AM,11:00 AM,"RCH 103,105,110,112",,,,,,,,,,,,,,,
ACTSC 831,001,Saturday,"December 13, 2014",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,,,,,,
ACTSC 845,001,Tuesday,"December 9, 2014",9:00 AM,11:30 AM,"RCH 110,112",,,,,,,,,,,,,,,
ACTSC 846,001,Wednesday,"December 10, 2014",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,,,,,
ACTSC 863,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,RCH 307,,,,,,,,,,,,,,,
AFM 101,001 to 006,Monday,"December 8, 2014",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,7,8,9",,,,,,,,,,,,,,,
AFM 123,001,Wednesday,"December 10, 2014",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,,,,,,
AFM 131,001 to 003,Thursday,"December 11, 2014",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,11,12",,,,,,,,,,,,,,,
AFM 131,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
AFM 203,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,RCH 301,,,,,,,,,,,,,,,
AFM 204,001 to 003,Friday,"December 12, 2014",4:00 PM,5:30 PM,"B1 370, CPH 1346",,,,,,,,,,,,,,,
AFM 274,001,Friday,"December 5, 2014",4:00 PM,6:30 PM,RCH 209,,,,,,,,,,,,,,,
AFM 291,001 to 006,Monday,"December 8, 2014",7:30 PM,10:00 PM,"PAC 4,5,6,7",,,,,,,,,,,,,,,
AFM 321,001,Saturday,"December 13, 2014",7:30 PM,9:30 PM,MC 4041,,,,,,,,,,,,,,,
AFM 323,001,Thursday,"December 18, 2014",4:00 PM,6:30 PM,PAC 3,,,,,,,,,,,,,,,
AFM 333,001 to 004,Thursday,"December 4, 2014",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,,,,,,,,,,
AFM 341,001 to 005,Thursday,"December 4, 2014",9:00 AM,11:00 AM,"RCH 103,105,110,112",,,,,,,,,,,,,,,
AFM 362,001 to 005,Tuesday,"December 9, 2014",9:00 AM,11:00 AM,"DC 1350,1351",,,,,,,,,,,,,,,
AFM 372,001,Thursday,"December 4, 2014",7:30 PM,10:00 PM,RCH 309,,,,,,,,,,,,,,,
AFM 373,001 to 006,Monday,"December 8, 2014",9:00 AM,11:00 AM,"RCH 103,105,110,112",,,,,,,,,,,,,,,
AFM 391,001 to 005,Thursday,"December 11, 2014",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,,,,,,,,
AFM 401,001 to 005,Friday,"December 12, 2014",4:00 PM,6:30 PM,"PAC 7,8,11,12",,,,,,,,,,,,,,,
AFM 415,001,Friday,"December 5, 2014",12:30 PM,3:00 PM,RCH 205,,,,,,,,,,,,,,,
AFM 424,"001,002",Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,,,,,
AFM 425,001,Saturday,"December 13, 2014",7:30 PM,10:00 PM,MC 4040,,,,,,,,,,,,,,,
AFM 433,"001,002",Monday,"December 15, 2014",12:30 PM,3:00 PM,CPH 1346,,,,,,,,,,,,,,,
AFM 461,001 to 005,Wednesday,"December 10, 2014",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,,,,,,,,,,
AFM 471,001 to 004,Monday,"December 15, 2014",9:00 AM,11:00 AM,"DC 1350,1351",,,,,,,,,,,,,,,
AFM 472,"001,002",Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,,,,,
AFM 476,001,Monday,"December 8, 2014",9:00 AM,11:00 AM,"RCH 103,105,110,112",,,,,,,,,,,,,,,
AFM 482,001 to 005,Monday,"December 8, 2014",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,,,,,,,,,,
AFM 491,001 to 003,Tuesday,"December 9, 2014",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,,,,,,
AMATH 231,001,Friday,"December 12, 2014",4:00 PM,6:30 PM,MC 4041,,,,,,,,,,,,,,,
AMATH 250,001,Thursday,"December 18, 2014",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,,,,,,,,,,
AMATH 251,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,MC 4041,,,,,,,,,,,,,,,
AMATH 271,001,Thursday,"December 18, 2014",12:30 PM,3:00 PM,PAC 9,,,,,,,,,,,,,,,
AMATH 331,001,Wednesday,"December 17, 2014",9:00 AM,11:30 AM,PAC 5,,,,,,,,,,,,,,,
AMATH 350,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,RCH 301,,,,,,,,,,,,,,,
AMATH 351,001,Tuesday,"December 16, 2014",4:00 PM,6:30 PM,PAC 11,,,,,,,,,,,,,,,
AMATH 442,001,Wednesday,"December 10, 2014",7:30 PM,10:00 PM,PAC 9,,,,,,,,,,,,,,,
AMATH 463,001,Friday,"December 12, 2014",9:00 AM,11:30 AM,RCH 205,,,,,,,,,,,,,,,
AMATH 473,001,Saturday,"December 6, 2014",12:30 PM,3:00 PM,PAC 9,,,,,,,,,,,,,,,
AMATH 663,001,Friday,"December 12, 2014",9:00 AM,11:30 AM,RCH 205,,,,,,,,,,,,,,,
ANTH 101,001,Saturday,"December 6, 2014",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,,,,,,
ANTH 102,001,Thursday,"December 18, 2014",12:30 PM,2:30 PM,M3 1006,,,,,,,,,,,,,,,
ANTH 201,001,Monday,"December 15, 2014",7:30 PM,9:30 PM,RCH 211,,,,,,,,,,,,,,,
ANTH 202,001,Monday,"December 15, 2014",9:00 AM,11:30 AM,PAS 1241,,,,,,,,,,,,,,,
ANTH 290,001,Thursday,"December 11, 2014",4:00 PM,6:00 PM,PAS 1241,,,,,,,,,,,,,,,
ANTH 352,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,,,,,
ANTH 355,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,PAS 2214,,,,,,,,,,,,,,,
APPLS 205R,001,Monday,"December 8, 2014",7:30 PM,10:00 PM,REN 2106,,,,,,,,,,,,,,,
APPLS 301,001,Tuesday,"December 9, 2014",4:00 PM,6:30 PM,AL 105,,,,,,,,,,,,,,,
ARBUS 101,"001,002",Thursday,"December 11, 2014",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,11,12",,,,,,,,,,,,,,,
ARBUS 202,001,Tuesday,"December 9, 2014",12:30 PM,3:00 PM,"HH 1101,1102",,,,,,,,,,,,,,,
ARBUS 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ARBUS 301,001 to 004,Thursday,"December 4, 2014",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,,,,,,,,,,
ARTS 125,001,Friday,"December 12, 2014",12:30 PM,3:00 PM,CGC 1300,,,,,,,,,,,,,,,
ARTS 280,001,Friday,"December 12, 2014",7:30 PM,10:00 PM,"PAC 11,12",,,,,,,,,,,,,,,
ARTS 290,001,Friday,"December 12, 2014",12:30 PM,3:00 PM,PAS 2086,,,,,,,,,,,,,,,
BIOL 110,001,Friday,"December 19, 2014",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,,,,,,,,,,
BIOL 130,001 to 003,Wednesday,"December 17, 2014",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12,
DC 1350,1351,MC 1056",,,,,,,,,,,,,,,
BIOL 130,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
BIOL 150,"001,002",Tuesday,"December 9, 2014",9:00 AM,11:30 AM,"PAC 4,5,6,7,11,12",,,,,,,,,,,,,,,
BIOL 225,001,Friday,"December 19, 2014",4:00 PM,6:30 PM,DC 1350,,,,,,,,,,,,,,,
BIOL 239,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
BIOL 240,"001,002",Friday,"December 12, 2014",7:30 PM,10:00 PM,"PAC 1,2,3,4,5,6,7,8",,,,,,,,,,,,,,,
BIOL 240,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
BIOL 240L,001 to 022,Tuesday,"December 16, 2014",12:30 PM,1:30 PM,"M3 1006,DC 1350,1351,
MC 4020,4021,4059,4061",,,,,,,,,,,,,,,
BIOL 273,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
BIOL 302,001,Friday,"December 5, 2014",12:30 PM,3:00 PM,"DC 1350,1351,MC 1085",,,,,,,,,,,,,,,
BIOL 303,001,Wednesday,"December 17, 2014",9:00 AM,11:30 AM,"DC 1350,1351",,,,,,,,,,,,,,,
BIOL 308,001,Thursday,"December 11, 2014",7:30 PM,10:00 PM,"PAC 1,2,4,5",,,,,,,,,,,,,,,
BIOL 309,001,Thursday,"December 18, 2014",12:30 PM,3:00 PM,"PAC 6,7,8",,,,,,,,,,,,,,,
BIOL 310,001,Wednesday,"December 17, 2014",4:00 PM,6:30 PM,PAC 6,,,,,,,,,,,,,,,
BIOL 321,001,Saturday,"December 6, 2014",9:00 AM,11:30 AM,B2 350,,,,,,,,,,,,,,,
BIOL 325,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,B2 350,,,,,,,,,,,,,,,
BIOL 335L,"001,002",Monday,"December 8, 2014",4:00 PM,6:30 PM,RCH 305,,,,,,,,,,,,,,,
BIOL 342,001,Tuesday,"December 16, 2014",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,,,,,,
BIOL 345,001,Thursday,"December 18, 2014",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,,,,,,
BIOL 350,001,Wednesday,"December 17, 2014",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,,,,,,
BIOL 354,001,Tuesday,"December 16, 2014",7:30 PM,10:00 PM,"PAC 11,12",,,,,,,,,,,,,,,
BIOL 355,001,Monday,"December 8, 2014",12:30 PM,3:00 PM,"M3 1006,MC 2017,2054",,,,,,,,,,,,,,,
