Exam,Section(s),Day,Date,"Start
Time","End
Time",Location,,,
ACTSC 221,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ACTSC 231,001,Monday,"April 13, 2015",7:30 PM,10:00 PM,"PAC 5,6",,,
ACTSC 232,001,Thursday,"April 16, 2015",12:30 PM,3:00 PM,M3 1006,,,
ACTSC 331,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,DC 1350,,,
ACTSC 371,001,Friday,"April 24, 2015",9:00 AM,11:30 AM,"DC 1350,1351",,,
ACTSC 372,001,Wednesday,"April 15, 2015",7:30 PM,10:00 PM,"PAC 7,8",,,
ACTSC 433,001,Wednesday,"April 22, 2015",4:00 PM,6:30 PM,PAC 1,,,
ACTSC 446,001,Monday,"April 13, 2015",9:00 AM,11:30 AM,"RCH 301,302",,,
ACTSC 453,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,RCH 211,,,
ACTSC 455,001,Monday,"April 20, 2015",7:30 PM,10:00 PM,PAC 11,,,
ACTSC 462,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,M3 1006,,,
ACTSC 833,001,Wednesday,"April 22, 2015",4:00 PM,6:30 PM,PAC 1,,,
ACTSC 846,001,Monday,"April 13, 2015",9:00 AM,11:30 AM,"RCH 301,302",,,
ACTSC 853,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,RCH 211,,,
ACTSC 855,001,Monday,"April 20, 2015",7:30 PM,10:00 PM,PAC 11,,,
ACTSC 862,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,M3 1006,,,
AFM 101,"001,002",Saturday,"April 18, 2015",12:30 PM,3:00 PM,"PAC 1,2,3,4,5",,,
AFM 102,001 to 004,Tuesday,"April 14, 2015",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6",,,
AFM 121,001 to 005,Thursday,"April 16, 2015",9:00 AM,11:00 AM,TBA,,,
AFM 123,003,Tuesday,"April 21, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6",,,
AFM 131,001,Saturday,"April 11, 2015",12:30 PM,3:00 PM,"PAC 9,10",,,
AFM 131,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
AFM 231,001,Thursday,"April 16, 2015",7:30 PM,9:30 PM,"PAC 1,2",,,
AFM 323,001,Thursday,"April 23, 2015",9:00 AM,11:30 AM,PAC 12,,,
AFM 333,"001,002",Monday,"April 20, 2015",12:30 PM,3:00 PM,"PAC 3,9,10",,,
AFM 341,"001,002",Friday,"April 10, 2015",9:00 AM,11:00 AM,TBA,,,
AFM 362,"001,002",Monday,"April 13, 2015",4:00 PM,6:30 PM,DC 1350,,,
AFM 372,001,Saturday,"April 11, 2015",12:30 PM,3:00 PM,MC 4040,,,
AFM 373,"001,002",Saturday,"April 18, 2015",4:00 PM,6:30 PM,PAC 1,,,
AFM 391,"001,002",Tuesday,"April 21, 2015",9:00 AM,11:30 AM,PAC 7,,,
AFM 424,"001,002",Saturday,"April 11, 2015",12:30 PM,2:00 PM,TBA,,,
