Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,,,
ACTSC 221,001,Wednesday,"December 16, 2015",4:00 PM,6:30 PM,"MC 2034,2035",,,,,,,,
ACTSC 231,"001,002",Tuesday,"December 22, 2015",9:00 AM,11:30 AM,CIF1 A-V,,,,,,,,
ACTSC 232,001,Saturday,"December 19, 2015",12:30 PM,3:00 PM,DC 1350,,,,,,,,
ACTSC 331,001,Saturday,"December 12, 2015",7:30 PM,10:00 PM,DC 1350,,,,,,,,
ACTSC 371,"001,002",Tuesday,"December 15, 2015",4:00 PM,6:30 PM,CIF1 A-N,,,,,,,,
ACTSC 372,001,Thursday,"December 10, 2015",9:00 AM,11:30 AM,M3 1006,,,,,,,,
ACTSC 431,001,Wednesday,"December 16, 2015",7:30 PM,10:00 PM,M3 1006,,,,,,,,
ACTSC 432,001,Monday,"December 21, 2015",9:00 AM,11:30 AM,MC 4020,,,,,,,,
ACTSC 445,001,Saturday,"December 19, 2015",7:30 PM,10:00 PM,CIF1 A-F,,,,,,,,
ACTSC 446,001,Saturday,"December 12, 2015",12:30 PM,3:00 PM,PAC 4,,,,,,,,
ACTSC 463,001,Friday,"December 18, 2015",7:30 PM,10:00 PM,MC 4059,,,,,,,,
ACTSC 471,001,Friday,"December 18, 2015",9:00 AM,11:30 AM,MC 4060,,,,,,,,
ACTSC 831,001,Wednesday,"December 16, 2015",7:30 PM,10:00 PM,M3 1006,,,,,,,,
ACTSC 832,001,Monday,"December 21, 2015",9:00 AM,11:30 AM,MC 4020,,,,,,,,
ACTSC 845,001,Saturday,"December 19, 2015",7:30 PM,10:00 PM,CIF1 A-F,,,,,,,,
ACTSC 846,001,Saturday,"December 12, 2015",12:30 PM,3:00 PM,PAC 4,,,,,,,,
AFM 101,001 to 006,Friday,"December 18, 2015",12:30 PM,3:00 PM,"CIF1 A-Z, CIF2 A-M
DC 1350,1351",,,,,,,,
AFM 123,001,Thursday,"December 17, 2015",12:30 PM,3:00 PM,"RCH 301,302,305",,,,,,,,
AFM 131,003 to 006,Wednesday,"December 16, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11, MC 1085",,,,,,,,
AFM 131,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
AFM 203,001,Exam removed from the schedule. Contact instructor for further information.,,,,,,,,,,,,
AFM 204,"001,002",Exam removed from the schedule. Contact instructor for further information.,,,,,,,,,,,,
AFM 231,001,Tuesday,"December 22, 2015",4:00 PM,6:00 PM,MC 4045,,,,,,,,
