Exam,Section,Day,Date,Start,Finish,Location,,,,,,,,,,
ACTSC 221,001,Tuesday,"August 9, 2016",4:00 PM,6:30 PM,"PAC 11,12",,,,,,,,,,
ACTSC 231,"001,002",Thursday,"August 11, 2016",4:00 PM,6:30 PM,"PAC 4,5,6",,,,,,,,,,
ACTSC 232,001,Thursday,"August 11, 2016",7:30 PM,10:00 PM,PAC 1,,,,,,,,,,
ACTSC 331,001,Wednesday,"August 10, 2016",7:30 PM,10:00 PM,PAC 3,,,,,,,,,,
ACTSC 371,"001,002",Saturday,"August 6, 2016",12:30 PM,3:00 PM,"PAC 4,5",,,,,,,,,,
ACTSC 372,001,Wednesday,"August 3, 2016",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,
ACTSC 431,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,"PAC 7,8",,,,,,,,,,
ACTSC 432,001,Tuesday,"August 9, 2016",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
ACTSC 445,001,Thursday,"August 4, 2016",12:30 PM,3:00 PM,PAC 1,,,,,,,,,,
ACTSC 831,001,Monday,"August 8, 2016",9:00 AM,11:30 AM,"PAC 7,8",,,,,,,,,,
ACTSC 832,001,Tuesday,"August 9, 2016",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,
ACTSC 845,001,Thursday,"August 4, 2016",12:30 PM,3:00 PM,PAC 1,,,,,,,,,,
AFM 101,001,Friday,"August 12, 2016",7:30 PM,10:00 PM,"PAC 4,5",,,,,,,,,,
AFM 102,001,Friday,"August 5, 2016",12:30 PM,3:00 PM,STC 1012,,,,,,,,,,
AFM 211,"001,002",Monday,"August 8, 2016",12:30 PM,3:00 PM,"CPH 1346, E2 1310,
PAS 1237, HH 280",,,,,,,,,,
AFM 231,001 to 005,Thursday,"August 4, 2016",12:30 PM,2:30 PM,"M3 1006, MC 4059,4061",,,,,,,,,,
AFM 241,"001,002",Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,
AFM 272,001,Thursday,"August 11, 2016",4:00 PM,6:30 PM,HH 280,,,,,,,,,,
AFM 274,001 to 004,Wednesday,"August 10, 2016",12:30 PM,3:00 PM,"PAC 4,5,6",,,,,,,,,,
AFM 280,001 to 004,Friday,"August 5, 2016",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,
AFM 322,"001,002",Wednesday,"August 10, 2016",9:00 AM,11:00 AM,MC 4059,,,,,,,,,,
AFM 333,"001,002",Monday,"August 8, 2016",12:30 PM,3:00 PM,PAC 3,,,,,,,,,,
AFM 351,001 to 005,Monday,"August 8, 2016",9:00 AM,11:30 AM,"CPH 1346, E2 1310,
PAS 1237, HH 280",,,,,,,,,,
AFM 363,001 to 005,Friday,"August 5, 2016",9:00 AM,11:30 AM,"PAC 4,5,6,7",,,,,,,,,,
AFM 372,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,
AFM 424,"001,002",Friday,"August 12, 2016",4:00 PM,6:30 PM,CPH 1346,,,,,,,,,,
AFM 433,"001,002",Wednesday,"August 10, 2016",4:00 PM,6:30 PM,E2 1310,,,,,,,,,,
AFM 481,001 to 005,Tuesday,"August 2, 2016",4:00 PM,6:30 PM,"PAC 4,5,6,7",,,,,,,,,,
AFM 491,"001,002",Wednesday,"August 3, 2016",4:00 PM,6:30 PM,PAC 7,,,,,,,,,,
AHS 150,001,Wednesday,"August 3, 2016",4:00 PM,6:00 PM,MC 4042,,,,,,,,,,
AMATH 231,001,Saturday,"August 6, 2016",7:30 PM,10:00 PM,MC 4045,,,,,,,,,,
AMATH 242,001,Wednesday,"August 3, 2016",7:30 PM,10:00 PM,PAC 3,,,,,,,,,,
AMATH 250,001,Friday,"August 12, 2016",12:30 PM,3:00 PM,"PAC 2,3",,,,,,,,,,
AMATH 332,001,Thursday,"August 4, 2016",7:30 PM,10:00 PM,PAC 6,,,,,,,,,,
AMATH 351,001,Thursday,"August 11, 2016",7:30 PM,10:00 PM,MC 4041,,,,,,,,,,
AMATH 353,001,Tuesday,"August 9, 2016",12:30 PM,3:00 PM,MC 4041,,,,,,,,,,
ANTH 100,001,Thursday,"August 4, 2016",4:00 PM,6:00 PM,AL 208,,,,,,,,,,
ANTH 201,001,Tuesday,"August 2, 2016",9:00 AM,11:30 AM,PAS 1229,,,,,,,,,,
ARBUS 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ARBUS 301,"001,002",Monday,"August 8, 2016",12:30 PM,3:00 PM,PAC 3,,,,,,,,,,
ARTS 280,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
BIOL 120,001,Saturday,"August 13, 2016",9:00 AM,11:30 AM,PAC 8,,,,,,,,,,
BIOL 130,001,Monday,"August 8, 2016",4:00 PM,6:30 PM,DC 1350,,,,,,,,,,
BIOL 239,001,Friday,"August 12, 2016",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,
BIOL 240,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
BIOL 240L,001 to 003,Wednesday,"August 10, 2016",4:00 PM,5:00 PM,DC 1350,,,,,,,,,,
BIOL 241,001,Thursday,"August 11, 2016",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,
BIOL 273,001,Tuesday,"August 2, 2016",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,
