Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,
ACTSC 221,001,Tuesday,"December 20, 2016",4:00 PM,6:30 PM,"MC 2017,2054",,,,,,
ACTSC 231,"001,002",Monday,"December 19, 2016",4:00 PM,6:30 PM,"PAC 6,7,8",,,,,,
ACTSC 232,001,Thursday,"December 15, 2016",4:00 PM,6:30 PM,DC 1350,,,,,,
ACTSC 331,001,Monday,"December 19, 2016",4:00 PM,6:30 PM,PAC 1,,,,,,
ACTSC 371,"001,002",Tuesday,"December 20, 2016",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,
ACTSC 372,001,Saturday,"December 17, 2016",9:00 AM,11:30 AM,"PAC 7,8",,,,,,
ACTSC 431,001,Thursday,"December 8, 2016",7:30 PM,10:00 PM,"MC 2034,2035",,,,,,
ACTSC 432,001,Thursday,"December 15, 2016",4:00 PM,6:30 PM,DC 1351,,,,,,
ACTSC 445,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,"PAC 11,12",,,,,,
ACTSC 446,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,"MC 4020,4021",,,,,,
ACTSC 463,001,Thursday,"December 22, 2016",4:00 PM,6:30 PM,MC 4041,,,,,,
ACTSC 831,001,Thursday,"December 8, 2016",7:30 PM,10:00 PM,"MC 2034,2035",,,,,,
ACTSC 832,001,Thursday,"December 15, 2016",4:00 PM,6:30 PM,DC 1351,,,,,,
ACTSC 845,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,"PAC 11,12",,,,,,
ACTSC 846,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,"MC 4020,4021",,,,,,
AFM 101,001 to 006,Friday,"December 16, 2016",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,7,8,9",,,,,,
AFM 123,001,Saturday,"December 17, 2016",7:30 PM,10:00 PM,M3 1006,,,,,,
AFM 131,003 to 006,Tuesday,"December 13, 2016",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12
MC 2017,2054",,,,,,
AFM 131,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
AFM 202,001 to 003,Thursday,"December 22, 2016",9:00 AM,11:00 AM,M3 1006,,,,,,
AFM 202,004 to 006,Thursday,"December 22, 2016",9:00 AM,11:00 AM,TBA,,,,,,
AFM 203,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,
AFM 231,001,Monday,"December 12, 2016",9:00 AM,11:00 AM,"MC 4059,4061",,,,,,
AFM 272,"001,002",Wednesday,"December 14, 2016",9:00 AM,11:30 AM,MC 1085,,,,,,
AFM 273,001 to 006,Thursday,"December 15, 2016",7:30 PM,10:00 PM,"PAC 4,5,6,7",,,,,,
AFM 291,001 to 006,Monday,"December 12, 2016",4:00 PM,6:30 PM,"DC 1350,1351, M3 1006",,,,,,
AFM 321,001,Saturday,"December 17, 2016",4:00 PM,6:30 PM,"PAC 9,10",,,,,,
AFM 323,001,Wednesday,"December 21, 2016",4:00 PM,6:30 PM,PAC 4,,,,,,
AFM 333,"001,002",Friday,"December 9, 2016",12:30 PM,3:00 PM,TBA,,,,,,
AFM 341,001 to 004,Monday,"December 19, 2016",12:30 PM,3:00 PM,STC 1012,,,,,,
AFM 362,001 to 004,Thursday,"December 8, 2016",4:00 PM,6:30 PM,"PAC 7,8",,,,,,
AFM 373,001 to 004,Tuesday,"December 13, 2016",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,
AFM 391,001 to 004,Thursday,"December 15, 2016",12:30 PM,3:00 PM,"MC 4020,4021,4059,4061",,,,,,
AFM 401,001 to 004,Wednesday,"December 14, 2016",9:00 AM,11:30 AM,TBA,,,,,,
AFM 415,001,Monday,"December 19, 2016",7:30 PM,10:00 PM,MC 4020,,,,,,
AFM 424,001,Monday,"December 19, 2016",9:00 AM,11:30 AM,TBA,,,,,,
AFM 425,001,Thursday,"December 15, 2016",12:30 PM,3:00 PM,"PAC 9,10",,,,,,
AFM 433,001 to 003,Tuesday,"December 13, 2016",4:00 PM,6:30 PM,TBA,,,,,,
AFM 462,001 to 004,Monday,"December 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,
AFM 476,"001,002",Friday,"December 9, 2016",7:30 PM,10:00 PM,MC 4020,,,,,,
AFM 477,001,Saturday,"December 17, 2016",9:00 AM,11:30 AM,PAC 9,,,,,,
AFM 478,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,MC 4064,,,,,,
AFM 482,001 to 005,Thursday,"December 8, 2016",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,
AFM 491,"001,002",Friday,"December 16, 2016",12:30 PM,3:00 PM,M3 1006,,,,,,
AHS 107,"001,002",Friday,"December 9, 2016",9:00 AM,11:00 AM,"DC 1350,1351, MC 1085,4020,4021,
MC 4045,4059,4061",,,,,,
AMATH 231,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,MC 1056,,,,,,
AMATH 250,"001,002",Saturday,"December 10, 2016",12:30 PM,3:00 PM,STC 1012,,,,,,
AMATH 251,001,Friday,"December 16, 2016",7:30 PM,10:00 PM,MC 4042,,,,,,
AMATH 271,001,Thursday,"December 15, 2016",7:30 PM,10:00 PM,TBA,,,,,,
AMATH 331,001,Friday,"December 16, 2016",4:00 PM,6:30 PM,MC 4020,,,,,,
AMATH 342,001,Monday,"December 12, 2016",9:00 AM,11:30 AM,TBA,,,,,,
AMATH 350,001,Thursday,"December 8, 2016",12:30 PM,3:00 PM,"MC 4042,4045",,,,,,
AMATH 351,001,Saturday,"December 10, 2016",12:30 PM,3:00 PM,MC 4020,,,,,,
AMATH 442,001,Thursday,"December 15, 2016",12:30 PM,3:00 PM,TBA,,,,,,
AMATH 456,001,Friday,"December 9, 2016",7:30 PM,10:00 PM,TBA,,,,,,
AMATH 473,001,Friday,"December 9, 2016",12:30 PM,3:00 PM,MC 4045,,,,,,
AMATH 673,001,Friday,"December 9, 2016",12:30 PM,3:00 PM,MC 4045,,,,,,
ANTH 100,001,Wednesday,"December 14, 2016",9:00 AM,11:30 AM,"STC 0050,0060",,,,,,
ANTH 201,001,Monday,"December 19, 2016",7:30 PM,10:00 PM,TBA,,,,,,
ANTH 202,001,Thursday,"December 22, 2016",4:00 PM,6:00 PM,TBA,,,,,,
ANTH 204,001,Wednesday,"December 21, 2016",4:00 PM,6:30 PM,TBA,,,,,,
