Exam,Section(s),Day,Date,Start,End,Location,,,,,,,,,,
ACTSC 221,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
ACTSC 231,"001,002",Thursday,"April 20, 2017",7:30 PM,10:00 PM,"PAC 1,2",,,,,,,,,,
ACTSC 232,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,
ACTSC 331,001,Exam removed from the schedule. Contact instructor for further information,,,,,,,,,,,,,,
ACTSC 371,"001,002",Thursday,"April 13, 2017",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,,,,,
ACTSC 372,"001,002",Thursday,"April 13, 2017",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,
ACTSC 433,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,PAC 4,,,,,,,,,,
ACTSC 446,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,
ACTSC 453,001,Monday,"April 17, 2017",9:00 AM,11:30 AM,MC 4058,,,,,,,,,,
ACTSC 462,001,Thursday,"April 13, 2017",12:30 PM,3:00 PM,DC 1350,,,,,,,,,,
ACTSC 833,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,PAC 4,,,,,,,,,,
ACTSC 846,001,Tuesday,"April 11, 2017",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,
AFM 101,"001,002",Wednesday,"April 12, 2017",4:00 PM,6:30 PM,"PAC 4,5,6,7",,,,,,,,,,
AFM 102,001 to 005,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7",,,,,,,,,,
AFM 121,001 to 007,Exam removed from the schedule. Contact instructor for further information,,,,,,,,,,,,,,
AFM 123,003,Thursday,"April 13, 2017",7:30 PM,10:00 PM,"PAC 4,5,6,7,8",,,,,,,,,,
AFM 131,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,PAC 5,,,,,,,,,,
AFM 131,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,
AFM 231,001,Tuesday,"April 18, 2017",7:30 PM,9:30 PM,"PAC 4,5",,,,,,,,,,
AFM 323,001,Monday,"April 10, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
AFM 333,"001,002",Friday,"April 21, 2017",4:00 PM,6:30 PM,PAC 4,,,,,,,,,,
AFM 341,"001,002",Friday,"April 7, 2017",12:30 PM,3:00 PM,"MC 2034,2035",,,,,,,,,,
AFM 362,"001,002",Tuesday,"April 11, 2017",9:00 AM,11:30 AM,PAC 8,,,,,,,,,,
AFM 372,001,Saturday,"April 8, 2017",12:30 PM,3:00 PM,PAC 6,,,,,,,,,,
AFM 373,"001,002",Monday,"April 17, 2017",12:30 PM,2:30 PM,DC 1350,,,,,,,,,,
AFM 391,"001,002",Thursday,"April 13, 2017",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,
AFM 433,"001,002",Monday,"April 24, 2017",9:00 AM,11:30 AM,TBA,,,,,,,,,,
AFM 476,001,Monday,"April 17, 2017",12:30 PM,2:30 PM,DC 1350,,,,,,,,,,
AFM 491,001,Wednesday,"April 12, 2017",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,
