Exam,Section(s),Day,Date,Start,Finish,Location,
ACTSC  221,001,Friday,"August 11, 2017",4:00 PM,6:30 PM,MC 1085,
ACTSC  231,001,Thursday,"August 3, 2017",7:30 PM,10:00 PM,"PAC 1,2",
ACTSC  232,001,Thursday,"August 3, 2017",7:30 PM,10:00 PM,PAC 3,
ACTSC  232,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
ACTSC  331,001,Wednesday,"August 9, 2017",9:00 AM,11:30 AM,MC 4020,
ACTSC  371,001,Friday,"August 4, 2017",7:30 PM,10:00 PM,"PAC 1,2",
ACTSC  372,001,Friday,"August 4, 2017",4:00 PM,6:30 PM,M3 1006,
ACTSC  431,001,Monday,"July 31, 2017",9:00 AM,11:30 AM,M3 1006,
ACTSC  432,001,Friday,"August 4, 2017",9:00 AM,11:30 AM,"PAC 9,10,11",
ACTSC  445,001,Wednesday,"August 2, 2017",12:30 PM,3:00 PM,"PAC 9,10,11",
ACTSC  831,001,Monday,"July 31, 2017",9:00 AM,11:30 AM,M3 1006,
ACTSC  832,001,Friday,"August 4, 2017",9:00 AM,11:30 AM,"PAC 9,10,11",
ACTSC  845,001,Wednesday,"August 2, 2017",12:30 PM,3:00 PM,"PAC 9,10,11",
AFM  101,001,Wednesday,"August 9, 2017",7:30 PM,10:00 PM,"PAC 1,2",
AFM  102,001,Wednesday,"August 9, 2017",7:30 PM,10:00 PM,"PAC 4,5",
AFM  211,001,Wednesday,"August 9, 2017",9:00 AM,11:30 AM,Sched Only,
AFM  231,001 to 006,Monday,"July 31, 2017",4:00 PM,6:30 PM,"PAC 4,5,6,7",
AFM  241,"001,002",Tuesday,"August 8, 2017",9:00 AM,11:30 AM,"PAC 4,5,6,7",
AFM  273,001,Thursday,"August 3, 2017",12:30 PM,3:00 PM,PAC 6,
AFM  274,001 to 006,Wednesday,"August 2, 2017",4:00 PM,6:30 PM,"PAC 4,5,6,7",
AFM  280,001 to 006,Friday,"August 4, 2017",9:00 AM,11:30 AM,"PAC 4,5,6,7",
AFM  291,001,Friday,"July 28, 2017",7:30 PM,10:00 PM,PAC 3,
AFM  322,"001,002",Wednesday,"August 2, 2017",9:00 AM,11:30 AM,STC 0010,
AFM  333,"001,002",Friday,"July 28, 2017",9:00 AM,11:30 AM,"PAC 9,10",
AFM  351,001 to 005,Thursday,"August 10, 2017",9:00 AM,11:30 AM,Sched Only,
AFM  363,001 to 005,Friday,"August 4, 2017",4:00 PM,6:30 PM,"PAC 4,5,6",
AFM  372,001,Wednesday,"August 2, 2017",4:00 PM,6:30 PM,PAC 8,
AFM  391,001,Tuesday,"August 8, 2017",7:30 PM,10:00 PM,PAC 4,
AFM  433,"001,002",Wednesday,"August 2, 2017",12:30 PM,3:00 PM,Sched Only,
AFM  481,001 to 005,Tuesday,"August 1, 2017",4:00 PM,6:30 PM,"PAC 4,5,6",
AFM  491,"001,002",Monday,"July 31, 2017",7:30 PM,10:00 PM,PAC 7,
AMATH  231,001,Friday,"August 4, 2017",12:30 PM,3:00 PM,MC 4059,
AMATH  242,001,Thursday,"August 10, 2017",12:30 PM,3:00 PM,Sched Only,
AMATH  250,001,Monday,"July 31, 2017",12:30 PM,3:00 PM,"PAC 1,2",
AMATH  332,001,Wednesday,"August 2, 2017",4:00 PM,6:30 PM,MC 4045,
AMATH  351,001,Saturday,"July 29, 2017",7:30 PM,10:00 PM,Sched Only,
AMATH  353,001,Friday,"August 4, 2017",9:00 AM,11:30 AM,MC 4041,
ANTH  100,001,Thursday,"August 3, 2017",7:30 PM,9:30 PM,Sched Only,
ANTH  202,001,Friday,"August 11, 2017",9:00 AM,11:00 AM,Sched Only,
ARBUS  202,001,Tuesday,"August 1, 2017",4:00 PM,6:30 PM,"PAC 9,10",
ARBUS  301,"001,002",Friday,"July 28, 2017",9:00 AM,11:30 AM,"PAC 9,10",
ARTS  280,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
BIOL  120,001,Wednesday,"August 2, 2017",7:30 PM,10:00 PM,PAC 9,
BIOL  130,001,Friday,"July 28, 2017",12:30 PM,3:00 PM,DC 1350,
BIOL  239,001,Wednesday,"August 9, 2017",7:30 PM,10:00 PM,"PAC 7,8",
BIOL  240,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
BIOL  240L,001 to 003,Thursday,"August 10, 2017",4:00 PM,5:00 PM,"PAC 9,10",
BIOL  241,001,Thursday,"August 10, 2017",4:00 PM,6:30 PM,"PAC 1,2",
BIOL  273,001,Friday,"August 4, 2017",9:00 AM,11:30 AM,"STC 0010,1012",
BIOL  273L,001 to 003,Tuesday,"August 1, 2017",9:00 AM,10:00 AM,STC 1012,
BIOL  303,001,Monday,"July 31, 2017",12:30 PM,3:00 PM,"PAC 9,10,11",
BIOL  308,001,Tuesday,"August 1, 2017",4:00 PM,6:30 PM,M3 1006,
BIOL  309,001,Thursday,"August 3, 2017",7:30 PM,10:00 PM,PAC 7,
BIOL  354,001,Thursday,"August 10, 2017",9:00 AM,11:30 AM,"PAC 7,8",
BME  282,001,Monday,"July 31, 2017",12:30 PM,3:00 PM,Sched Only,
BME  284,001,Friday,"August 4, 2017",12:30 PM,3:00 PM,Sched Only,
BME  294,001,Wednesday,"August 2, 2017",9:00 AM,11:30 AM,Sched Only,
