Exam,Section(s),Day,Date,Start,Finish,Location
ACTSC 221,001,Monday,"December 18, 2017",7:30 PM,10:00 PM,TBA
ACTSC 231,001 to 003,Thursday,"December 7, 2017",4:00 PM,6:30 PM,TBA
ACTSC 232,001,Monday,"December 18, 2017",12:30 PM,3:00 PM,TBA
ACTSC 331,001,Friday,"December 15, 2017",9:00 AM,11:30 AM,TBA
ACTSC 371,"001,002",Thursday,"December 21, 2017",12:30 PM,3:00 PM,TBA
ACTSC 372,"001,002",Tuesday,"December 19, 2017",9:00 AM,11:30 AM,TBA
ACTSC 431,001,Tuesday,"December 19, 2017",12:30 PM,3:00 PM,TBA
ACTSC 432,001,Wednesday,"December 13, 2017",7:30 PM,10:00 PM,TBA
ACTSC 445,001,Friday,"December 8, 2017",7:30 PM,10:00 PM,TBA
ACTSC 446,001,Thursday,"December 7, 2017",4:00 PM,6:30 PM,TBA
ACTSC 462,001,Monday,"December 18, 2017",4:00 PM,6:30 PM,TBA
ACTSC 845,001,Friday,"December 8, 2017",7:30 PM,10:00 PM,TBA
ACTSC 846,001,Thursday,"December 7, 2017",4:00 PM,6:30 PM,TBA
AFM 101,001 to 006,Thursday,"December 14, 2017",4:00 PM,6:30 PM,TBA
AFM 102,001,Tuesday,"December 12, 2017",4:00 PM,6:30 PM,TBA
AFM 123,001,Wednesday,"December 13, 2017",4:00 PM,6:30 PM,TBA
AFM 131,003 to 006,Friday,"December 8, 2017",7:30 PM,10:00 PM,TBA
AFM 131,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
AFM 202,001 to 004,Monday,"December 11, 2017",7:30 PM,9:00 PM,TBA
AFM 202,005 to 007,Monday,"December 11, 2017",7:30 PM,9:30 PM,Sched Only
AFM 231,001,Friday,"December 15, 2017",7:30 PM,9:30 PM,TBA
AFM 272,"001,002",Tuesday,"December 19, 2017",12:30 PM,3:00 PM,TBA
AFM 273,001 to 006,Tuesday,"December 19, 2017",12:30 PM,3:00 PM,TBA
AFM 291,001 to 007,Friday,"December 15, 2017",4:00 PM,6:30 PM,TBA
AFM 321,001,Exam removed from schedule. Contact instructor for further information.,,,,
AFM 323,001,Monday,"December 11, 2017",7:30 PM,10:00 PM,Sched Only
AFM 333,001 to 003,Monday,"December 11, 2017",9:00 AM,11:30 AM,TBA
AFM 362,001 to 004,Wednesday,"December 13, 2017",9:00 AM,11:30 AM,TBA
AFM 373,001 to 006,Monday,"December 18, 2017",9:00 AM,11:00 AM,TBA
AFM 391,001 to 004,Thursday,"December 7, 2017",4:00 PM,6:30 PM,TBA
AFM 401,001 to 005,Thursday,"December 7, 2017",12:30 PM,3:00 PM,TBA
AFM 415,001,Thursday,"December 7, 2017",7:30 PM,9:30 PM,Sched Only
AFM 415,002,Thursday,"December 7, 2017",7:30 PM,10:00 PM,TBA
AFM 425,001,Friday,"December 8, 2017",7:30 PM,10:00 PM,TBA
AFM 433,"001,002",Thursday,"December 14, 2017",7:30 PM,10:00 PM,Sched Only
AFM 462,001 to 005,Wednesday,"December 13, 2017",7:30 PM,10:00 PM,Sched Only
AFM 476,001,Monday,"December 18, 2017",9:00 AM,11:00 AM,TBA
AFM 477,001,Monday,"December 18, 2017",4:00 PM,6:30 PM,TBA
AFM 479,001 to 006,Monday,"December 11, 2017",12:30 PM,2:00 PM,TBA
