id,location,latitude,longitude,updated
0,On top of CIF entrance,43.475531375000003,-80.548242841399997,2014-04-07 13:58:00
1,REV Courtyard,43.469705537400003,-80.553560320800003,2014-04-07 13:58:00
2,Needles Hall roof by the main staircase,43.469770747799998,-80.543146644000004,2014-04-03 15:59:00
3,Stairs next to RCH (south side between RCH and DWE) a goose has begun creating a nest.,43.470051898000001,-80.540605251700001,2014-04-07 13:58:00
4,Ring Road side of PAS,43.467377816700001,-80.541005291199994,2014-04-07 13:58:00
5,In front of St.Paul's cafeteria window,43.467555460400000,-80.546565391200005,2014-04-04 15:57:00
6,Waterloo Court North Entrance,43.470178554400000,-80.535433952399998,2014-04-07 13:58:00
7,Arts Lecture Rooftop,43.468936632400002,-80.542016093599997,2014-04-04 15:57:00
8,On the side of the pond,43.465651450300001,-80.543630782999998,2014-04-07 13:58:00
9,E2-E3 Courtyard outside of Lever Lab,43.471170342699999,-80.540236618099996,2014-04-07 13:58:00
