id,location,latitude,longitude,updated
22,about 3 nests. very aggressive,43.47239176,-80.5430514259,2015-03-30 00:00:00
23,across the stream and before the circle enterence of REV. To get a good view go inside the glass bridge/tunnel and you can see them and their nest,43.4705869367,-80.554255013,2015-03-30 00:00:00
24,Courtyard of UWP Woolwich,43.4706744403,-80.5334222956,2015-03-30 00:00:00
25,"5 nest present, but none in my house. Blocked them. ",43.472415118,-80.5430031462,2015-03-30 00:00:00
26,there were two making a nest in the raised garden bed,43.4708369809,-80.542583837,2015-03-30 00:00:00
28,Outside of West Quad facing Columbia Lake. Nest on the grass between the road and REV.,43.4709143522,-80.5548638744,2015-03-30 00:00:00
29,In the garden beside the wall. Geese like to keep watch on roof over WEEF Lab,43.471338697,-80.5398381395,2015-03-30 00:00:00
31,Near bus shelter.,43.4726474803,-80.5413669987,2015-03-30 00:00:00
32,In front of Minota Hagey,43.4669043412,-80.5427939339,2015-03-30 00:00:00
33,by the window front entrance,43.4678073529,-80.5462633025,2015-03-30 00:00:00
36,On the Greens,43.4662969766,-80.5423433228,2015-03-30 00:00:00
38,between CPH and E2,43.4708394102,-80.5398220463,2015-03-30 00:00:00
40,In the corner by the windows,43.4684558188,-80.546889667,2015-03-30 00:00:00
41,Arts Quad,43.4692177193,-80.5421261524,2015-03-30 00:00:00
43,The entrance to the 3rd floor of optometry building,43.4757741872,-80.5457765503,2015-03-30 00:00:00
50,GOOSE NEST,43.4694707302,-80.5384594841,2015-03-31 00:00:00
52,Nesting on top of rounded wall,43.4703319439,-80.539446537,2015-03-31 00:00:00
53,MKV West side of Patio,43.4711912472,-80.5526859207,2015-03-31 00:00:00
55,Path to DC,43.4728507419,-80.5419195337,2015-04-01 00:00:00
56,Where pathway narrows between physics and the end of E2,43.4707002321,-80.5410880489,2015-04-01 00:00:00
58,"V1,on top of building",43.4714324607,-80.5493106711,2015-04-01 00:00:00
59,"On top of Tim Hortons, nest maybe on the parking lot infront of Woolwich South",43.4706554614,-80.5351120872,2015-04-01 00:00:00
61,Open Text Parking Lot. ,43.4767366472,-80.551572396,2015-04-01 00:00:00
62,Lots of geese - bad,43.4667246102,-80.5452669699,2015-04-01 00:00:00
65,ST Courtyard,43.4693858102,-80.5457792325,2015-04-01 00:00:00
67,Rooftop of Grand Commons,43.4706437821,-80.5352117183,2015-04-01 00:00:00
71,Right by the gates to Lot A,43.4695455218,-80.537367825,2015-04-02 00:00:00
1066,,43.4710124577,-80.548608963,2015-04-02 00:00:00
1067,Large nest on sixth floor of MC,43.4719927272,-80.5439848347,2015-04-02 00:00:00
1068,,43.4702958351,-80.5506259842,2015-04-02 00:00:00
1070,In the huge concrete planter box ,43.4708895457,-80.5426772965,2015-04-03 00:00:00
1071,"on top of the EV 1 roof, overlooking the intersection of the AL, ML and HH. Potential to swoop down",43.4684367418,-80.5422574921,2015-04-03 00:00:00
1072,,43.4686060735,-80.5432244284,2015-04-03 00:00:00
1073,,43.4674431293,-80.5423004129,2015-04-04 00:00:00
1074,,43.4685462261,-80.5424676003,2015-04-04 00:00:00
1075,,43.4685118827,-80.5423004177,2015-04-04 00:00:00
1076,E5 4th Floor SkyGarden,43.4728803283,-80.5400580807,2015-04-04 00:00:00
1077,Between School of Accounting and Environment 1,43.4685648295,-80.5419892712,2015-04-05 00:00:00
1079,Roof of EV3,43.4681949709,-80.5435127659,2015-04-06 00:00:00
1080,the hagey hall quad/outdoor courtyard,43.4679808412,-80.5418135865,2015-04-06 00:00:00
1081,SLC Courtyard,43.4718864476,-80.5450443072,2015-04-06 00:00:00
1082,,43.4723513702,-80.5497569485,2015-04-06 00:00:00
1083,SLC Exit area,43.4719046477,-80.5450148029,2015-04-07 00:00:00
1084,Nesting under window at ML!,43.4688400807,-80.5429334087,2015-04-08 00:00:00
1085,Renison East Meets West Garden,43.468746254,-80.5472624941,2015-04-08 00:00:00
1086,Mom and Dad sitting at nest location ,43.4685950021,-80.5409619851,2015-04-08 00:00:00
1087,,43.4752385637,-80.5420858307,2015-04-09 00:00:00
1088,next to EC3 near tracks and parking,43.4755313751,-80.5424291534,2015-04-09 00:00:00
1089,In the flower bed between park lot (next to railway line) and the building,43.4753507493,-80.5420858307,2015-04-09 00:00:00
1090,,43.4672746944,-80.5353481216,2015-04-09 00:00:00
1091,Just NW of bridge from Health Services towards the SLC.  On Ring Road side.,43.4709238903,-80.5453929944,2015-04-10 00:00:00
1092,PAC Red South directly outside the doors on the grass patch beside the stairs,43.4719153535,-80.5458087368,2015-04-10 00:00:00
1094,Nest being dug out in mulch,43.4676156507,-80.5413428588,2015-04-10 00:00:00
