building,room,floor,number of microwaves,alternative names of location,contact url,comment,last audit 
timestamp
QNC,,3,1,staff lounge,,,
QNC,,4,1,staff lounge,,,
QNC,,5,1,staff lounge,,,
CPH,,4,1,staff lounge,,,
CPH,,1,2,P.O.E.T.S.,http://www.feds.ca/campus-life/student-societies/engsoc/,,
CPH,,1,1,Engineering Coffee & Donuts | C&D | Eng 
C&D,http://www.feds.ca/campus-life/student-societies/engsoc/,,
DWE,2528,1,1,University of Waterloo Chemical Engineering Student Society office | CESS office | UW CESS | 
CESS,http://chemsoc.uwaterloo.ca/,,
E5,,3,1,lounge,,,
PHYS,,1,1,Physics Undergraduate Club | PhysClub,https://www.facebook.com/groups/physclub/,,
PHYS,345A,3,1,Science Society | SciSoc,http://www.feds.ca/campus-life/student-societies/scisoc/,,
C2,260,2,1,Chemistry Club | ChemClub,https://www.facebook.com/groups/2203944916/,,
EIT,2027,2,1,CEIT Café,,,
B2,,1,,,,,
ESC,102A,1,1,Biology Undergraduate Society | BUGS,https://www.facebook.com/pages/BUGS/105249312855089,,
EV1,,1,1,Environment Coffee Shop,,,
EV3,,2,1,,,,
BMH,,,1,AHS Student Lounge,,,
DC,,,,,,,
MC,,3,,Math Coffee & Donuts | Math C&D | C&D,,,
MC,,3,1,MC Comfy Lounge | MC Comfy | Comfy,,,
MC,,4,1,Tutorial Centre,,,
Hagey Hall,,,,,,,
Arts Lecture Hall,,,,,,,
ML,,,1,Pierre Dubé room | La salle Pierre,,,
PAS,,3,1,PAS lounge,,,
SLC,,2,2,,,,
SLC,,1,1,,,,
SJU,,,,,,,
V1,,,,,,,
Rev,,,,,,,
Renison,,,,,,,
Optometry,,,3,,,,
