name,description,location,is_cancelled,location_tbd,buildng,room,note,latitude,longitude
"Opening Ceremonies",,"BMH Green",0,0,,,,43.47329,-80.54477
"Closing Ceremonies",,"BMH Green",0,0,,,,43.47329,-80.54477
"Canadian Ninja Warrior",,"V1 Green",0,0,,,,43.47114,-80.54784
"Ultimeate Frisbee",,"V1 Green",0,0,,,,43.47114,-80.54784
"Doc-u-short Festival",,QNC,0,0,QNC,,,43.47126,-80.54419
Lipsyncing,,"STC 1012",0,0,STC,1012,,43.4706,-80.5438
"Lions Lair",,"Hagey Hall",0,0,HH,,,43.46793,-80.54145
"Boat Building",,"CPH Courtyard",0,0,,,,43.47065,-80.53947
"Capture the Calculus",,"ML Green",0,0,,,,43.46885,-80.54355
Geocashing,,"EV3 Green",0,0,,,,43.46885,-80.54355
"Escape Rooms",,MC,0,0,,,,43.47216,-80.54395
"Reaction Rocketeering",,"V1 Green",0,0,,,,43.47114,-80.54784
"Human Checkers",,"Arts Quad",0,0,,,,43.46923,-80.54214
"Coffee Run",,"SLC Courtyard",0,0,,,,43.47192,-80.54496
Sardines,,PAS,0,0,PAS,,,43.46729,-80.54238
"Human Knot",,"RCH Courtyard",0,0,,,,43.47025,-80.54021
"Human Bingo",,"Physics Courtyard",0,0,,,,43.47033,-80.54165
"Elf, Goblins, Wizards",,"Physics Green",0,0,,,,43.47094,-80.54207
"Huckle Buckle",,"SLC Lower Atrium",0,0,SLC,54,,43.47179,-80.54527
"Puzzle Pieces",,"DC Courtyard",0,0,,,,43.4725,-80.54296
