name,short_name,description,ref,opening_hours,latitude,longitude,unisex,barrier_free,sharps_disposal,diaper,personal_hand_shower,audited
"Columbia Ice Fields",CIF,"First floor, across from 1103 & 1103A gyms","CIF 1901",24/7,43.4755,-80.5484,yes,yes,yes,yes,no,
"Columbia Ice Fields",CIF,"First floor, across from 1103 & 1103A gyms","CIF 1902",24/7,43.4755,-80.5484,yes,yes,yes,no,no,
"School of Optometry and Vision Science",OPT,,"OPT 1032",24/7,43.4758,-80.5455,yes,yes,yes,yes,no,
"B.C. Mathhews Hall",BMH,"First floor","BMH 1438",24/7,43.4736,-80.5455,yes,no,yes,no,no,
"B.C. Mathhews Hall",BMH,"First floor","BMH 1439",24/7,43.4736,-80.5455,yes,no,yes,no,no,
"B.C. Mathhews Hall",BMH,"First floor","BMH 1665",24/7,43.4736,-80.5455,yes,yes,yes,no,"Shower but not a new one",
"Quantum-Nano Centre",QNC,"Concourse floor","QNC B917",,43.4712,-80.5441,yes,yes,yes,yes,no,
"Quantum-Nano Centre",QNC,"First floor","QNC 1917",,43.4712,-80.5441,yes,yes,yes,yes,no,
"Quantum-Nano Centre",QNC,"Second floor","QNC 2917",,43.4712,-80.5441,yes,yes,yes,yes,no,
"Quantum-Nano Centre",QNC,"Third floor","QNC 3917",,43.4712,-80.5441,yes,yes,yes,yes,no,
"Quantum-Nano Centre",QNC,"Third floor","QNC 3943",,43.4712,-80.5441,yes,no,yes,yes,no,
"Quantum-Nano Centre",QNC,"Third floor","QNC 3944",,43.4712,-80.5441,yes,no,yes,no,no,
"Quantum-Nano Centre",QNC,"Third floor","QNC 3946",,43.4712,-80.5441,yes,no,yes,no,no,
"Quantum-Nano Centre",QNC,"Third floor","QNC 3947",,43.4712,-80.5441,yes,no,yes,no,no,
"Quantum-Nano Centre",QNC,"Fourth floor","QNC 4917",,43.4712,-80.5441,yes,yes,yes,yes,no,
"Quantum-Nano Centre",QNC,"Fourth floor","QNC 4943",,43.4712,-80.5441,yes,yes,yes,yes,no,
"Quantum-Nano Centre",QNC,"Fourth floor","QNC 4944",,43.4712,-80.5441,yes,no,yes,no,no,
"Quantum-Nano Centre",QNC,"Fourth floor","QNC 4946",,43.4712,-80.5441,yes,no,yes,no,no,
"Quantum-Nano Centre",QNC,"Fourth floor","QNC 4947",,43.4712,-80.5441,yes,no,yes,no,no,
"Quantum-Nano Centre",QNC,"Fifth floor","QNC 5943",,43.4712,-80.5441,yes,yes,yes,yes,no,
"Quantum-Nano Centre",QNC,"Fifth floor","QNC 5944",,43.4712,-80.5441,yes,no,yes,no,no,
"Quantum-Nano Centre",QNC,"Fifth floor","QNC 5946",,43.4712,-80.5441,yes,no,yes,no,no,
"Quantum-Nano Centre",QNC,"Fifth floor","QNC 5947",,43.4712,-80.5441,yes,no,yes,no,no,
"Earth Sciences & Chemistry",ESC,"First floor","ESC 128",24/7,43.4714,-80.5427,yes,no,yes,yes,yes,
"Earth Sciences & Chemistry",ESC,"Third floor","ESC 335",24/7,43.4714,-80.5427,yes,yes,yes,yes,no,
"Earth Sciences & Chemistry",ESC,"Second floor","ESC 237",24/7,43.4714,-80.5427,yes,no,yes,no,yes,
"Centre for Environmental & Information Technology",EIT,"First floor","EIT 1906",24/7,43.4715,-80.542,yes,yes,yes,yes,no,
"Centre for Environmental & Information Technology",EIT,"Second floor","EIT 2905",24/7,43.4715,-80.542,yes,yes,yes,yes,no,
"Centre for Environmental & Information Technology",EIT,"Third floor","EIT 3901",24/7,43.4715,-80.542,yes,no,yes,yes,no,
"Centre for Environmental & Information Technology",EIT,"Lower level","EIT 0906",24/7,43.4715,-80.542,yes,no,yes,yes,no,
"Centre for Environmental & Information Technology",EIT,"Lower level","EIT 0907",24/7,43.4715,-80.542,yes,no,yes,no,no,
"Centre for Environmental & Information Technology",EIT,"Fourth floor","EIT 4902",24/7,43.4715,-80.542,yes,no,yes,yes,no,
"Centre for Environmental & Information Technology",EIT,"Fourth floor","EIT 4903",24/7,43.4715,-80.542,yes,no,yes,no,no,
"William G. Davis Computer Research Centre",DC,"First floor, CIM building","DC 1931",24/7,43.4719,-80.5414,yes,no,yes,no,no,
"William G. Davis Computer Research Centre",DC,"First floor, CIM building","DC 1932",24/7,43.4719,-80.5414,yes,no,yes,no,no,
"Engineering 3",E3,"First floor (near DC CIM building)","E3 1121",24/7,43.4719,-80.5407,yes,yes,yes,yes,no,
"Engineering 3",E3,"First floor (near DC CIM building)","E3 1122",24/7,43.4719,-80.5407,yes,yes,yes,no,no,
"J.R. Coutts Engineering Lecture Hall",RCH,"First floor","RCH 125",24/7,43.4703,-80.5407,yes,yes,yes,no,no,
"J.R. Coutts Engineering Lecture Hall",RCH,"First floor","RCH 126",24/7,43.4703,-80.5407,yes,yes,yes,no,no,
"Engineering 2",E2,"Third floor","E2 3418A",24/7,43.4708,-80.5402,yes,yes,yes,yes,no,
"Environment 2",EV2,"First floor","EV2 1032",24/7,43.4679,-80.5431,yes,no,yes,no,no,
"Tatham Centre for Cooperative Education",TC,"Second floor","TC 2903",24/7,43.469,-80.5412,yes,no,yes,no,no,
"Tatham Centre for Cooperative Education",TC,"Second floor","TC 2904",24/7,43.469,-80.5412,yes,no,yes,no,no,
"Tatham Centre for Cooperative Education",TC,"Second floor","TC 2905",24/7,43.469,-80.5412,yes,no,yes,no,no,
"Tatham Centre for Cooperative Education",TC,"Second floor","TC 2906",24/7,43.469,-80.5412,yes,no,yes,no,no,
"Tatham Centre for Cooperative Education",TC,"Third floor","TC 3903",24/7,43.469,-80.5412,yes,no,yes,no,no,
"Tatham Centre for Cooperative Education",TC,"Third floor","TC 3904",24/7,43.469,-80.5412,yes,no,yes,no,no,
"Tatham Centre for Cooperative Education",TC,"Third floor","TC 3905",24/7,43.469,-80.5412,yes,no,yes,no,no,
"Tatham Centre for Cooperative Education",TC,"Third floor","TC 3906",24/7,43.469,-80.5412,yes,no,yes,no,no,
"Health Services",HS,"First floor","HS 1903",,43.4707,-80.5461,yes,yes,yes,no,no,
"Health Services",HS,"First floor","HS 1904",,43.4707,-80.5461,yes,yes,yes,no,no,
"Health Services",HS,"First floor","HS 1914",,43.4707,-80.5461,yes,no,yes,no,no,
"Health Services",HS,"First floor","HS 1916",,43.4707,-80.5461,yes,no,yes,no,no,
"Health Services",HS,"First floor","HS 1919",,43.4707,-80.5461,yes,yes,yes,yes,no,
"Health Services",HS,"First floor","HS 1921",,43.4707,-80.5461,yes,yes,yes,no,no,
"Health Services",HS,"First floor","HS 1911",,43.4707,-80.5461,yes,no,yes,no,no,
"Health Services",HS,"Second floor","HS 2904",,43.4707,-80.5461,yes,yes,yes,no,no,
"Health Services",HS,"Second floor","HS 2906",,43.4707,-80.5461,yes,yes,yes,no,no,
"Health Services",HS,"Second floor","HS 2909",,43.4707,-80.5461,yes,no,yes,no,no,
"William G. Davis Computer Research Centre",DC,Basement,"DC 0925",24/7,43.4729,-80.5423,yes,no,yes,no,no,
"William G. Davis Computer Research Centre",DC,Basement,"DC 0926",24/7,43.4729,-80.5423,yes,no,yes,no,no,
"William G. Davis Computer Research Centre",DC,"First floor","DC 1925",24/7,43.4729,-80.5423,yes,no,yes,no,no,
"William G. Davis Computer Research Centre",DC,"First floor","DC 1926",24/7,43.4729,-80.5423,yes,no,yes,no,no,
"East Campus Hall",ECH,,"ECH 2901",,43.47375,-80.53882,yes,no,yes,yes,no,
"East Campus Hall",ECH,,"ECH 2902",,43.47375,-80.53882,yes,yes,yes,no,no,
