name ,description,latitude,longitude
SCH Book Store,Book store,43.469176,-80.540078
SCH Campus Tech,Campus Tech,43.471909,-80.545116
DC Media Doc,Media Doc,43.472733,-80.542323
MC Media Doc,Media Doc,43.472358,-80.543621
SLC Media Doc,Media Doc,43.471883,-80.545124
STC Media Doc,Media Doc,43.470879,-80.543785
SCH Media Doc,Media Doc,43.469213,-80.5402
SCH Waterloo Store ,Waterloo Clothes Store,43.47035,-80.54187
SCH Write Stuff,Write Stuff,43.469619,-80.540043
SLC Watcard,Watcard,43.471906,-80.545118
