printer,ad,server,comment,driver,server,room,faculty
deancopy,"CN=AHSCOSERV-deancopy;CN=ahscoserv;OU=AHSCO;OU=GROUPS;OU=AHS;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",AHSCOSERV,"Redeployed June 12; 2012","Xerox Global Print Driver PCL","3rd Floor",AHS
hsgprt2IP,"CN=AHSCOSERV-hsgprt2IP;CN=ahscoserv;OU=AHSCO;OU=GROUPS;OU=AHS;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",AHSCOSERV,-,"HP LaserJet 4250 PS","HSG Grad",AHS
recprt2IP,"CN=AHSCOSERV-recprt2IP;CN=ahscoserv;OU=AHSCO;OU=GROUPS;OU=AHS;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",AHSCOSERV,"Created June 4; 2010","HP LaserJet 4250 PS","RLS Grad",AHS
p_arts-mps-admin,"CN=NXSARTSAPP-p_arts-mps-admin;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Master of Public Service - Admin Printer","Xerox GPD PS V2.1","180 King",Arts
p_arts_mps_student,"CN=NXSARTSAPP-p_arts_mps_student;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Master of Public Policy Printer","Xerox GPD PS V2.1","180 King",Arts
ren-bsw,"CN=NXSARTSAPP-ren-bsw;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Renison College","hp LaserJet 1320 PCL 6","1st floor",Arts
p_arts-deanoffice,"CN=NXSARTSAPP-p_arts-deanoffice;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Arts Dean Xerox 6180N","Xerox Phaser 6180N PS","Dean Office",Arts
?p_independent_studies-copier,"CN=NXSARTSAPP-?p_independent_studies-copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Independent Studies Copier","Xerox GPD PS V2.1","ECH 1103",Arts
?p_independentstudies,"CN=NXSARTSAPP-?p_independentstudies;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Independent Studies","Xerox Global Print Driver PS","ECH 1104",Arts
p_arts-finearts-copier,"CN=NXSARTSAPP-p_arts-finearts-copier;CN=NXSARTSAPP;OU=Psych has permissions;OU=Arts;OU=Domain Member Servers;DC=NEXUS;DC=UWATERLOO;DC=CA",NXSARTSAPP,"Finearts Dept. Xerox copier","Xerox GPD PS V2.1","ECH 1206",Arts
