subject,description,unit,group
"AADMS","Arts Administration Specialization Seminar","ARTSDEAN","ART"
"AB","Arabic (WLU)","VPA","VPA"
"ACC","Accounting","ACC","ART"
"ACINTY","Academic Integrity","VPA","VPA"
"ACTSC","Actuarial Science","STATACTSC","MAT"
"ADMGT","Advanced Management","CBET","ENG"
"AES","Applied Environmental Studies","ENVDEAN","ENV"
"AFM","Accounting and Financial Managment","ACC","ART"
"AHS","Applied Health Sciences","AHSDEAN","AHS"
"AMATH","Applied Mathematics","AMATH","MAT"
"ANTH","Anthropology","ANTH","ART"
"APHYS","Applied Physics","ENGDEAN","ENG"
"APPLS","Applied Language Studies","REN","REN"
"ARBUS","Arts and Business","ARTSDEAN","ART"
"ARCH","Architecture","ARCH","ENG"
"ARCHL","Archeology (WLU)","VPA","VPA"
"ART","Art","FINE","ART"
"ARTS","Arts","ARTSDEAN","ART"
"ASIAN","Asian Studies","REN","REN"
"ASTRN","Astronomy (WLU)","VPA","VPA"
"AVIA","Aviation","VPA","VPA"
"BASE","Bridge to Academic Success in English","REN","REN"
"BE","Business Entrepreneurship","CBET","ENG"
"BET","Business, Entrepreneurship and Technology","CBET","ENG"
"BIOL","Biology","BIOL","SCI"
"BME","Biomedical Engineering","ENGDEAN","ENG"
"BOT","Botany (WLU)","VPA","VPA"
"BUS","Business","MATHDEAN","MAT"
"CCIV","Classical Civilization","CLASSICS","ART"
"CDNST","Canadian Studies","STP","STP"
"CEDEV","Children's Education & Development (WLU)","VPA","VPA"
"CHE","Chemical Engineering","CHE","ENG"
"CHEM","Chemistry","CHEM","SCI"
"CHINA","Chinese","REN","REN"
"CIVE","Civil Engineering","CIVE","ENG"
"CLAS","Classical Studies","CLASSICS","ART"
"CM","Computational Mathematics","MATHDEAN","MAT"
"CMW","Church Music and Worship","CGC","CGC"
"CO","Combinatorics and Optimization","CO","MAT"
"COGSCI","Cognitive Science","PHIL","ART"
"COMM","Commerce","MATHDEAN","MAT"
"COMPT","Computing (WLU)","VPA","VPA"
"COMST","Communication Studies (WLU)","VPA","VPA"
"CONST","Contemporary Studies (WLU)","VPA","VPA"
"COOP","Co-op","CECS","VPA"
"CROAT","Croatian","GERSLAV","ART"
"CS","Computer Science","CS","MAT"
"CT","Catholic Thought","STJ","STJ"
"CULMG","Cultural Management","ARTSDEAN","ART"
"CULT","Cultural Studies","VPA","VPA"
"DAC","Digital Arts Communication","ARTSDEAN","ART"
"DANCE","Dance","ARTSDEAN","ART"
"DEI","Digital Experience Innovation","ARTSDEAN","ART"
"DES","Design","SYDE","ENG"
"DEVIS","Development & International Studies (WLU)","VPA","VPA"
"DM","Design and Manufacturing","ME","ENG"
"DRAMA","Drama","DRAMA","ART"
"DUTCH","Dutch","GERSLAV","ART"
"EARTH","Earth Science","EARTH","SCI"
"EASIA","East Asian Studies","REN","REN"
"EBUS","Environment and Business","ENVDEAN","ENV"
"ECE","Electrical and Computer Engineering","ECE","ENG"
"ECON","Economics","ECON","ART"
"EFAS","English for Academic Success","REN","REN"
"ELE","Electrical Engineering","ECE","ENG"
"ELPE","English Language Proficiency Examination","VPA","VPA"
"EMLS","English for Multilingual Speakers","REN","REN"
"ENBUS","Environment and Business","SEED","ENV"
"ENGL","English","ENGL","ART"
"ENVE","Environmental Engineering","ENGDEAN","ENG"
"ENVS","Environmental Studies","ENVDEAN","ENV"
