"site_slug","site_name"
"3d-print-centre","3D Print Centre"
"about","About Waterloo"
"academic-integrity","Academic Integrity"
"academic-reviews","Academic Reviews"
"academic-support-computing-representatives-group","Academic Support Computing Representatives Group"
"adobe-connect-help","Adobe Connect Help"
"advancement","Office of Advancement"
"alumni","Alumni"
"anthropology","Anthropology"
"anxiety-studies","Anxiety Studies"
"applied-health-sciences","Applied Health Sciences"
"applied-health-sciences-computing","Applied Health Sciences Computing"
"applied-health-sciences-undergraduate-members","Applied Health Sciences Undergraduate Members"
"architecture","Architecture"
"arts","Arts"
"arts-computing","Arts Computing Office"
"arts-endowment-fund","Arts Endowment Fund"
"assessment-planning-project","Assessment and Planning Project"
"associate-provost-students","Associate Provost, Students"
"associate-vice-president-academic","Associate Vice-President, Academic"
"astereae-lab","Astereae Lab"
"audio-research-group","Audio Research Group"
"aviation","Aviation"
"behavioural-decision-research","Centre for Behavioural Decision Research"
"biochemistry-molecular-biology-institute","Institute of Biochemistry & Molecular Biology"
"bioengineering-biotechnology","Centre for Bioengineering and Biotechnology"
"biology","Department of Biology"
"biology-graduate-student-association","Biology Graduate Student Association"
"biomedical-engineering","Biomedical Engineering"
"biomedical-sciences","Biomedical Sciences"
"biosphere-sustainability-project","Biosphere Sustainability Project"
"brand-guidelines","Brand Guidelines"
"campbell-labs","Campbell Labs"
"campus-network-services-committee","Campus Network Services Committee"
"canada-day","Canada Day"
"canadian-centre-of-arts-and-technology","Canadian Centre of Arts and Technology"
"canadian-index-wellbeing","Canadian Index of Wellbeing"
"canadian-phycological-culture-centre","Canadian Phycological Culture Centre"
"canadian-society-for-biomechanics-2014","Canadian Society for Biomechanics (CSB/SCB) 2014"
"canadian-student-tobacco-alcohol-drugs-survey","Canadian Student Tobacco, Alcohol and Drug Survey"
"canary","Canary"
"career-action","Centre for Career Action"
"catalyst","Catalyst"
"catering","UW Catering"
"central-stores","Central Stores"
"centre-advancement-co-operative-education","WATCACE - Centre for the advancement of co-operative education"
"centre-automotive-research","WATCAR Waterloo Centre for Automotive Research"
"centre-for-teaching-excellence","Centre for Teaching Excellence"
"centre-for-theoretical-neuroscience","Centre for Theoretical Neuroscience"
"centre-pavement-transportation-technology","Centre for Pavement and Transportation Technology"
"chairs","Waterloo Chairs"
"chaplains","Chaplains"
"charles-research-group","Charles Research Group"
"chem13news","Chem13 News"
"chemed2013","ChemEd 2013 Conference"
"chemical-engineering","Chemical Engineering"
"chemistry","Chemistry"
"chemstores","Chemstores"
"child-adolescent-neuropsychology-lab","Child and Adolescent Neuropsychology Lab"
"child-clinical-studies","Child Clinical Studies"
"chong-research-group","Chong Research Group"
"civil-environmental-engineering","Civil and Environmental Engineering"
"classical-studies","Classical Studies"
"climate-centre","Interdisciplinary Centre on Climate Change"
"co-operative-education","Co-operative Education"
"co-operative-education-career-action","Co-operative Education & Career Action"
"co-operative-education-career-action-systems","Co-operative Education & Career Action Systems"
"co-operative-education-stakeholder-research","Co-operative Education and Career Action Stakeholder Research"
"cognitive-development-lab","Cognitive Development Lab"
"cognitive-neuroscience-lab","Cognitive Neuroscience Lab"
"community-relations","Community Relations"
"computing-financial-management","Computing and Financial Management"
"computing-technology-services-committee","Computing Technology and Services Committee"
"conference-centre","Conference Centre"
"conflict-analysis-group","Conflict Analysis Group"
"conflict-management","Certificate in Conflict Management"
"conflict-management-human-rights","Conflict Management & Human Rights Office"
"conrad-business-entrepreneurship-technology","Conrad Business, Entrepreneurship and Technology Centre"
"copyright-guidelines","Copyright Guidelines"
"counselling-services","Counselling Services"
"creative-services","Creative Services"
"culture-at-work-lab","Culture at Work Lab"
"danckert-attention-action-group","Danckert Attention and Action Group"
"developmental-learning-lab","Developmental Learning Lab"
"disability-services","AccessAbility Services"
"diversity-intergroup-relations-lab","Diversity Intergroup Relations Lab"
"dixon-research-group","Dixon Research Group"
"document-management","Document Management"
"drama-speech-communication","Drama and Speech Communication"
