name,description,latitude,longitude
Bike Centre,SLC 0101,43.47142,-80.5457
RCH secure bike locker,Outside of RCH (West),43.4703,-80.54107
EV1 secure bike locker,Outside of EV1 (South),43.46803,-80.5425
NH secure bike locker,Outside of NH (East),43.46967,-80.54306
M3 secure bike locker,Outside of M3 (West),43.47296,-80.5443
E5 secure bike locker,Outside of E5 (South),43.47224,-80.53977
E6 secure bike locker,Outside of E6 (West),43.47283,-80.53891
South Commons bike repair station,"Between AL, DP and TC",43.46927,-80.54188
Engineering bike repair station,"Outside of DWE room 1417 (North side, adjacent to CPH)",43.47039,-80.53923
CarShare parking space,Lot C,43.46832,-80.53887
CarShare parking space,Lot A,43.46903,-80.5385
CarShare parking space,"UWP, East of Wellesley Court",43.47207,-80.53548
CarShare parking space,CGR lot,43.46606,-80.54429
CarShare parking space,Lot N,43.47535,-80.54368
CarShare parking space,Lot X,43.47815,-80.54536
CarShare parking space,Lot X,43.47704,-80.54741
