name,description,latitude,longitude
Water bottle refill station EV1 140,"EV1 first floor, across from Climate Lab (140)",43.46835,-80.54266
Water bottle refill station EV1 357,"EV1 third floor, across from room 357",43.46833,-80.54269
Water bottle refill station STC 0901,"STC basement, right beside room 0901",43.47059,-80.54392
Water bottle refill station STC 1906/1904,"STC first floor, between washrooms (1906 and 1904)",43.47056,-80.54319
Water bottle refill station STC 2904/2906,"STC second floor, between washrooms (2904 and 2906)",43.47055,-80.54325
Water bottle refill station STC 3904/3906,"STC third floor, between washrooms (3904 and 3906)",43.47064,-80.54331
Water bottle refill station STC 4904/4906,"STC fourth floor, between washrooms (4904 and 4906)",43.47063,-80.5433
Water bottle refill station STC 5904,"STC fifth floor, across from washroom (5904)",43.47069,-80.54326
Water bottle refill station NH 1912/1914,"NH (new) first floor, by washrooms (1912 and 1914)",43.47004,-80.54392
Water bottle refill station NH 2912/2914,"NH (new) second floor, by washrooms (2912 and 2914)",43.47003,-80.54391
Water bottle refill station NH 3912/3914,"NH (new) third floor, by washrooms (3912 and 3914)",43.47002,-80.5439
Water bottle refill station REV Central Complex,"REV Central Complex, first floor in cafeteria area",43.47027,-80.55425
Water bottle refill station MKV Link,"MKV Link, across from 009, between washrooms",43.47114,-80.55253
Water bottle refill station CLV Community Centre,"CLV Community Centre first floor, in kitchen",43.47078,-80.56238
Water bottle refill station V1 Central Complex first floor,"V1 Central Complex first floor, across from Multipurpose room",43.471547,-80.54995
Water bottle refill station V1 Central Complex second floor,"V1 Central Complex second floor, right beside 205",43.47167,-80.54982
Water bottle refill station CIF 1104/1105,"CIF first floor, between changerooms 1105 and 1104 (across from Gyms 1 and 2)",43.475265,-80.5482
Water bottle refill station CIF first floor,"CIF first floor, by arena washrooms in hallway 9",43.47565,-80.54849
Water bottle refill station OPT first floor,"OPT first floor, by the Eye Opener Caf�, just outside of kitchen (space 1119)",43.47539,-80.54551
Water bottle refill station LIB 305,"LIB (DP) third floor, by women's washroom (305)",43.46977,-80.5423
Water bottle refill station RCH 119A,"RCH first floor, in space 119A, across from room 103",43.47025,-80.54068
Water bottle refill station EV3 1933/1934,"EV3 first floor, by washrooms (1933 and 1934)",43.4683,-80.54331
Water bottle refill station EV3 2837,"EV3 second floor, by elevators (corridor 2837)",43.46824,-80.54334
Water bottle refill station EV3 3933/3934,"EV3 third floor, by washrooms (3933 and 3934)",43.46829,-80.5433
